step,train_loss,raw_bpb,lr_multiplier
248,4.9034343957901,1.5241486770955341,0.4
504,4.315368250012398,1.3127071009167026,0.4
760,4.052830591797829,1.250420330425486,0.4
1016,3.981472924351692,1.2180369946911018,0.4
1272,3.8642836213111877,1.1901252184584385,0.3569333333333334
1528,3.8460137844085693,1.167527181198425,0.3070461538461539
1784,3.611424431204796,1.1454622283216234,0.2571589743589744
2040,3.563683867454529,1.1273252342470976,0.20727179487179487
2296,3.6284027695655823,1.109524235484249,0.1573846153846154
2488,3.5069891661405563,1.0933234217189383,0.11996923076923079
2600,3.6365753561258316,1.0872923541078976,0.09814358974358975
2696,3.536366268992424,1.0807092922967996,0.07943589743589745
2760,3.556083530187607,1.0759696309538818,0.06696410256410257
2808,3.3800805062055588,1.0728006657495,0.05761025641025641
2856,3.4238173067569733,1.069470889540295,0.05
2904,3.4688060730695724,1.0674277383695847,0.05
2936,3.3877088874578476,1.0660296094200894,0.05
2968,3.490789696574211,1.0650794890157074,0.05
3000,3.4038639664649963,1.0637793882744613,0.05
