optimizer,family,alpha_group,alpha_other,n,mean_bpb,mean_gain_vs_raw,gain_ci95_half,positive_seed_count,min_gain,max_gain
native,structured_grid,0.0,0.0,5,1.1019701626279859,0.0,0.0,0,0.0,0.0
native,structured_grid,0.0,0.125,5,1.1018810582670182,8.910436096760676e-05,1.2795064814485056e-05,5,7.782927113142435e-05,0.00010537652910858064
native,structured_grid,0.0,0.25,5,1.1018158674178777,0.00015429521010794643,3.175979910093775e-05,5,0.00012057548337107704,0.00019081209145643818
native,structured_grid,0.0,0.375,5,1.1017837813061908,0.00018638132179518152,5.8932277916685756e-05,5,0.0001399167225435427,0.00025721462884376045
native,structured_grid,0.0,0.5,5,1.1017915019463256,0.00017866068166010328,6.595988571917642e-05,5,0.00012077156166645509,0.00025623346939052105
native,structured_grid,0.0,0.625,5,1.1018238576946466,0.00014630493333944727,9.532809775021253e-05,5,2.8272616326763256e-05,0.00021306421004840814
native,structured_grid,0.0,0.75,5,1.1019336562447344,3.650638325165545e-05,0.0001098021232544309,3,-5.491325585360585e-05,0.00014319785896588222
native,structured_grid,0.0,0.875,5,1.1020190190526409,-4.885642465506379e-05,0.00012681969384976588,2,-0.00017070022218845793,5.714618489482959e-05
native,structured_grid,0.0,1.0,5,1.1021659563903217,-0.00019579376233589408,0.00013982048801065676,0,-0.0003587158066769014,-7.556741714598303e-05
native,structured_grid,0.125,0.0,5,1.101191847488502,0.0007783151394836097,2.9733081349714903e-05,5,0.000748822628451995,0.0008043675060005473
native,structured_grid,0.125,0.125,5,1.1011190125922483,0.0008511500357373692,5.191753811846982e-05,5,0.0008125603733777353,0.0009125630556370279
native,structured_grid,0.125,0.25,5,1.1010669697365238,0.0009031928914622345,6.954140287505422e-05,5,0.0008314202282009298,0.000982939432382146
native,structured_grid,0.125,0.375,5,1.101031084136764,0.0009390784912217676,8.956996704179474e-05,5,0.0008700322514250125,0.0010589821165367663
native,structured_grid,0.125,0.5,5,1.1010491411652512,0.0009210214627344282,8.747878343369786e-05,5,0.0008154946603546875,0.0010070112980908874
native,structured_grid,0.125,0.625,5,1.1010926573133153,0.0008775053146705236,0.00012298660008638076,5,0.0007196983835866533,0.0009833048796545896
native,structured_grid,0.125,0.75,5,1.101193926916951,0.0007762357110347561,0.00013057643396816406,5,0.0006233060626259501,0.0008723733691244906
native,structured_grid,0.125,0.875,5,1.1013000726710533,0.0006700899569324736,0.00015410733357806058,5,0.0004975163071301303,0.0007921433734725536
native,structured_grid,0.125,1.0,5,1.10146290310173,0.0005072595262558099,0.00015432935837375334,5,0.0003045871031737146,0.0006058853689594468
native,structured_grid,0.25,0.0,5,1.1006152899678372,0.0013548726601484429,7.593666872049491e-05,5,0.0012928504954554665,0.0014363654122893088
native,structured_grid,0.25,0.125,5,1.1005327452979816,0.0014374173300041536,9.002758325836173e-05,5,0.0013531037085838804,0.0015517805334799295
native,structured_grid,0.25,0.25,5,1.1004726735723664,0.0014974890556193276,0.00010209247525612494,5,0.0013872757913633293,0.0016089161174870359
native,structured_grid,0.25,0.375,5,1.100457448831593,0.0015127137963928394,0.00012902032286297296,5,0.0014003236593103097,0.0016761979493509216
native,structured_grid,0.25,0.5,5,1.1004847164527005,0.0014854461752853432,0.00013817942998077624,5,0.0013537697659453674,0.0016536024366271551
native,structured_grid,0.25,0.625,5,1.1005334022460647,0.0014367603819212427,0.00014391336058822192,5,0.0012899191238169294,0.0016014732881752813
native,structured_grid,0.25,0.75,5,1.100642036672413,0.0013281259555727675,0.00015663037909010287,5,0.0011381675868147312,0.0014675442899203528
native,structured_grid,0.25,0.875,5,1.1007588649091093,0.0012112977188763363,0.00016699877730353858,5,0.001004388808378609,0.0013545785270376864
native,structured_grid,0.25,1.0,5,1.100922073574738,0.001048089053247736,0.00019035255085317446,5,0.0007914072015686724,0.00118696737422197
native,structured_grid,0.375,0.0,5,1.100209489360434,0.00176067326755196,0.00010804109781271105,5,0.0016776703347725075,0.0018895887038021808
native,structured_grid,0.375,0.125,5,1.1001206796147596,0.0018494830132262051,0.00012575596051524307,5,0.0017399052412705451,0.0020085380830050514
native,structured_grid,0.375,0.25,5,1.1000795318377716,0.0018906307902143205,0.00015306439569721223,5,0.0017388510441382898,0.0020657601205240628
native,structured_grid,0.375,0.375,5,1.1000676616493514,0.001902500978634336,0.0001687814561381375,5,0.0017402486334590073,0.002102655721200719
native,structured_grid,0.375,0.5,5,1.1000911123657764,0.0018790502622096027,0.00017397943378810217,5,0.0017117301916562688,0.0020828565567467816
native,structured_grid,0.375,0.625,5,1.100163337445196,0.0018068251827899396,0.00018527627974825956,5,0.001617405508462566,0.0020149771731017285
native,structured_grid,0.375,0.75,5,1.1002648695662145,0.0017052930617714069,0.0001836895963359771,5,0.001507396364328617,0.0019097029473089666
native,structured_grid,0.375,0.875,5,1.1004110734420252,0.0015590891859607492,0.00020619927309310342,5,0.0013257935292199097,0.0017789634825227107
native,structured_grid,0.375,1.0,5,1.100559575537019,0.0014105870909670414,0.00020600689281014922,5,0.0011410722793057104,0.001581845107002211
native,structured_grid,0.5,0.0,5,1.0999689691382961,0.002001193489689701,0.00015518035020639247,5,0.0018614210596195058,0.002186547741442224
native,structured_grid,0.5,0.125,5,1.0998936927303078,0.0020764698976781125,0.00017374912306527643,5,0.0019207869122128685,0.0022879617271456265
native,structured_grid,0.5,0.25,5,1.0998607435677923,0.0021094190601934847,0.00019043572386377442,5,0.0019159913015700525,0.002322923786447939
native,structured_grid,0.5,0.375,5,1.0998511397882935,0.002119022839692164,0.00021435926433708628,5,0.0019191199794719171,0.0023779292532268848
native,structured_grid,0.5,0.5,5,1.0998781639555395,0.002091998672446449,0.00020975899380576115,5,0.0018908452427859324,0.0023364190338586166
native,structured_grid,0.5,0.625,5,1.0999605850354766,0.0020095775925092598,0.00022899844982036605,5,0.0017828969706601416,0.0022736704824719567
native,structured_grid,0.5,0.75,5,1.1000735935561885,0.0018965690717973605,0.00021598481366599286,5,0.0016639736087540324,0.0021451627621733582
native,structured_grid,0.5,0.875,5,1.1001985853093768,0.0017715773186091522,0.0002209307401363127,5,0.0015270239579201483,0.0020115056127816278
native,structured_grid,0.5,1.0,5,1.1003849552334262,0.0015852073945597845,0.0002323635829993495,5,0.0013056120702743534,0.0018196355861175295
native,structured_grid,0.625,0.0,5,1.0999058938955026,0.002064268732483265,0.00019643797225723603,5,0.001880068084023634,0.002293183335619675
native,structured_grid,0.625,0.125,5,1.0998422120094207,0.0021279506185651886,0.00019612337096324518,5,0.0019205733648988144,0.00235077673758588
native,structured_grid,0.625,0.25,5,1.0998073278325406,0.0021628347954452563,0.0002314597424319126,5,0.0019304675752751521,0.0024270588467210086
native,structured_grid,0.625,0.375,5,1.0998081654437046,0.002161997184281228,0.0002467892985456805,5,0.0019333752206391885,0.0024583567656979444
native,structured_grid,0.625,0.5,5,1.0998462749796591,0.002123887648326761,0.0002448227106849357,5,0.0018868350201466377,0.0024183360359659734
native,structured_grid,0.625,0.625,5,1.099910498274889,0.002059664353096835,0.00025987735677528005,5,0.0018096263630558163,0.002363959583490116
native,structured_grid,0.625,0.75,5,1.1000340331179685,0.0019361295100170928,0.0002548572161503447,5,0.0016741180512718223,0.0022154015335322796
native,structured_grid,0.625,0.875,5,1.1001811609936882,0.0017890016342977156,0.0002794088788872425,5,0.0014808277611779719,0.0020996043877012927
native,structured_grid,0.625,1.0,5,1.1003645931433221,0.0016055694846637714,0.0002866048276057973,5,0.0012720777781749515,0.0019021149147051553
native,structured_grid,0.75,0.0,5,1.1000176862189401,0.0019524764090458114,0.00022135909727225925,5,0.001740369000672315,0.0022104089739614086
native,structured_grid,0.75,0.125,5,1.0999464483816113,0.002023714246374597,0.00023989796254842737,5,0.0017863541929303839,0.002304858915106456
native,structured_grid,0.75,0.25,5,1.0999328110019913,0.002037351625994477,0.00026505623469962064,5,0.001760416278063559,0.002326501408184578
native,structured_grid,0.75,0.375,5,1.099931029124479,0.002039133503506907,0.00026702710945630576,5,0.0017796494844448674,0.0023429650998332274
native,structured_grid,0.75,0.5,5,1.0999682055011788,0.0020019571268068857,0.00027357409979725,5,0.001754568523438138,0.0023288756726354
native,structured_grid,0.75,0.625,5,1.100040129933793,0.0019300326941928514,0.00029363091118505625,5,0.0016606282456872457,0.002274101917240534
native,structured_grid,0.75,0.75,5,1.1001740972945508,0.0017960653334350596,0.0002937496033669353,5,0.0015094319546911095,0.0021370277755130562
native,structured_grid,0.75,0.875,5,1.100321470982087,0.0016486916458988699,0.0002954170351872802,5,0.0013446676370012511,0.001993361672109728
native,structured_grid,0.75,1.0,5,1.1005279980112856,0.0014421646167003034,0.00031504906112890123,5,0.0010983282435885755,0.0017876782574388628
native,structured_grid,0.875,0.0,5,1.1002962833949315,0.0016738792330543094,0.0002610736378361712,5,0.0014170789322480726,0.0019691391649880874
native,structured_grid,0.875,0.125,5,1.1002259385240922,0.001744224103893588,0.0002656568227231823,5,0.0014848779690042058,0.0020556199996264457
native,structured_grid,0.875,0.25,5,1.1002068497016768,0.001763312926309224,0.0003066011977696796,5,0.0014508987440653431,0.002111950232013493
native,structured_grid,0.875,0.375,5,1.100221299555132,0.0017488630728540234,0.0002971302292129842,5,0.0014676235034354335,0.002093623992959426
native,structured_grid,0.875,0.5,5,1.1002585362225041,0.001711626405481992,0.0003086266588740502,5,0.0014313868467932256,0.002085066644170741
native,structured_grid,0.875,0.625,5,1.100343613996344,0.0016265486316418443,0.00031238711846885676,5,0.001339848443050462,0.0020043349965022106
native,structured_grid,0.875,0.75,5,1.100473600596218,0.001496562031767823,0.00032840734214786295,5,0.0011714932249553556,0.0018748684162595008
native,structured_grid,0.875,0.875,5,1.10063546791539,0.0013346947125958408,0.00033848686897680207,5,0.0009949876201011953,0.0017192012076201468
native,structured_grid,0.875,1.0,5,1.1008415110263872,0.0011286516015986514,0.0003491923817683248,5,0.0007638298891508022,0.001523024532865902
native,structured_grid,1.0,0.0,5,1.1007433963185673,0.001226766309418359,0.0002684638926045311,5,0.0009612730891070953,0.0015323979908634655
native,structured_grid,1.0,0.125,5,1.10067236038865,0.0012978022393360434,0.0003009054103940801,5,0.0009975944438989082,0.0016481254480982255
native,structured_grid,1.0,0.25,5,1.1006546257151784,0.0013155369128075023,0.0003266349322053023,5,0.0009727719305268057,0.00167524019313392
