optimizer,floor,best_tested_alpha,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
native,0.05,0.4,5,0.0007937926339417256,8.69199068674441e-05,0.0007068727270742815,0.0008807125408091697,5
native,0.1,0.55,5,0.0021129689033588138,0.000153864962224147,0.001959103941134667,0.0022668338655829606,5
native,0.15,0.7,5,0.005542964329409017,0.00016647879401737901,0.0053764855353916376,0.005709443123426396,5
pure_adamw,0.05,0.3,5,0.0002692621810599594,5.264446546168017e-05,0.0002166177155982792,0.00032190664652163956,5
pure_adamw,0.1,0.5,5,0.0009454182043205694,0.00011616143774293482,0.0008292567665776346,0.0010615796420635044,5
pure_adamw,0.15,0.65,5,0.002770135402303442,0.00029462114477440596,0.0024755142575290357,0.003064756547077848,5
