step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.518659919500351,0.4,149.39217448281124
500,4.890985935926437,0.4,299.06007002852857
750,4.392632842063904,0.4,448.2823560858378
1000,4.139569938182831,0.4,596.9016849439358
1250,4.106931507587433,0.3612205128205129,744.5447818875546
1500,3.8266888111829758,0.3125025641025641,892.8826756700873
1750,3.8939275294542313,0.2637846153846154,1041.101148074842
2000,3.8343569487333298,0.21506666666666666,1190.1209395588376
2250,3.8570642322301865,0.16634871794871797,1338.1658898801543
2500,3.5461064279079437,0.11763076923076923,1486.7792581678368
2750,3.648660361766815,0.06891282051282052,1634.9364134685602
3000,3.5882789939641953,0.04000000000000001,1784.6337630554335
