step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.48897323012352,0.4,143.45755321683828
500,4.8504618704319,0.4,288.9928937596269
750,4.363939672708511,0.4,432.74872326047625
1000,4.136747062206268,0.4,575.9246102735633
1250,4.114604011178017,0.3612205128205129,720.067989821313
1500,3.8290025144815445,0.3125025641025641,863.5767297777347
1750,3.901439055800438,0.2637846153846154,1005.9210766894976
2000,3.840720757842064,0.21506666666666666,1149.3951902206754
2250,3.858089402318001,0.16634871794871797,1294.4070501019014
2500,3.5476213842630386,0.11763076923076923,1439.2251828430453
2750,3.64748452603817,0.06891282051282052,1583.545242369757
3000,3.5911888033151627,0.020194871794871797,1728.6312548945425
