step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.511000961065292,0.4,154.15459071472287
500,4.779136627912521,0.4,307.73751643812284
750,4.393441781401634,0.4,462.1776064839214
1000,4.202096477150917,0.4,616.1120417262428
1250,4.053664743900299,0.3612205128205129,770.4924427960068
1500,4.080411463975906,0.3125025641025641,924.9636029982939
1750,3.8245921283960342,0.2637846153846154,1079.3170353285968
2000,3.555992931127548,0.21506666666666666,1234.1743693021126
2250,3.7789602130651474,0.16634871794871797,1388.608902538661
2500,3.5721266120672226,0.11763076923076923,1541.6614159867167
2750,3.6146348863840103,0.06891282051282052,1695.1476809973828
3000,3.5151186287403107,0.020194871794871797,1852.8918285788968
