step,train_loss,raw_bpb,lr_multiplier
248,5.03893056511879,1.5514453445982737,0.4
504,4.315451130270958,1.327995449223845,0.4
760,4.1559343338012695,1.2526351082645277,0.4
1016,4.020704284310341,1.2217267685761164,0.4
1272,3.872974455356598,1.195304489399994,0.3569333333333334
1528,3.712905600667,1.1683733326517314,0.3070461538461539
1784,3.7736383825540543,1.1461210428556665,0.2571589743589744
2040,3.6830918341875076,1.1275211526826878,0.20727179487179487
2296,3.5311069786548615,1.1069483653828585,0.1573846153846154
2488,3.5678032487630844,1.0935184489226573,0.11996923076923079
2600,3.545260861515999,1.087260399511777,0.09814358974358975
2696,3.5411818474531174,1.0799919513818392,0.07943589743589745
2760,3.517970770597458,1.0746420538072439,0.06696410256410257
2808,3.558048978447914,1.0716042281881206,0.05761025641025641
2856,3.332289919257164,1.068760024083479,0.04825641025641026
2904,3.525706022977829,1.0660366349580754,0.04000000000000001
2936,3.4764915704727173,1.0645240940599827,0.04000000000000001
2968,3.365472227334976,1.0629622911200216,0.04000000000000001
3000,3.42880742251873,1.0619844171943584,0.04000000000000001
