step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.974659502506256,157.77606424549595,0.4,0.4,0.4,0.4
500,4.265891194343567,303.87998349405825,0.4,0.4,0.4,0.4
750,4.037655532360077,450.6798879872076,0.4,0.4,0.4,0.4
1000,3.9884968996047974,597.1909211282618,0.4,0.4,0.4,0.4
1250,3.8780052810907364,743.7869363077916,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.7603192031383514,890.1021793391556,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.58274482190609,1036.4507951769046,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.632435068488121,1182.9343489650637,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.7062796652317047,1329.3395737423562,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.6972361356019974,1477.1064358474687,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.554504156112671,1624.7575870733708,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.4934243261814117,1770.38725622138,0.020194871794871797,0.020194871794871797,0.020194871794871797,0.020194871794871797
