recipe,method,k,spacing,alpha,beta,bpb,eval_seconds,stream_seed,paired_delta_method_minus_raw,paired_se,mean_alpha_by_numel
raw,Raw iterate,0,0,0.0,nan,1.057173976947708,2.331638755975291,5503,,,
tsa:k4:s16:a0.550,TSA,4,16,0.55,nan,1.0558662067858229,2.2583686718717217,5503,-0.0013077701618850756,6.487286407078858e-05,
lawa:k4:s16:a1.000,LAWA,4,16,1.0,nan,1.0560289332360537,2.330409321002662,5503,-0.0011450437116540813,0.00010932284482012578,
tsa:k4:s32:a0.550,TSA,4,32,0.55,nan,1.0553527589796066,2.3265420130919665,5503,-0.0018212179681010982,7.382297729481133e-05,
lawa:k4:s32:a1.000,LAWA,4,32,1.0,nan,1.055725357454505,2.3215694269165397,5503,-0.0014486194932029062,0.0001291486284328178,
tsa:k4:s64:a0.550,TSA,4,64,0.55,nan,1.0551896369354279,2.243774678790942,5503,-0.001984340012279947,8.804880924126239e-05,
lawa:k4:s64:a1.000,LAWA,4,64,1.0,nan,1.0562021173340976,2.256828987970948,5503,-0.0009718596136102988,0.0001523509209018153,
tsa:k8:s16:a0.550,TSA,8,16,0.55,nan,1.0552379653183983,2.3801982309669256,5503,-0.00193601162930963,7.985897073851906e-05,
lawa:k8:s16:a1.000,LAWA,8,16,1.0,nan,1.0558822620930541,2.288024143083021,5503,-0.0012917148546537603,0.0001393549684515036,
tsa:k8:s32:a0.550,TSA,8,32,0.55,nan,1.0549850489119965,2.237897548126057,5503,-0.002188928035711224,9.696148808198261e-05,
lawa:k8:s32:a1.000,LAWA,8,32,1.0,nan,1.0563625774543037,2.321429254952818,5503,-0.0008113994934041205,0.0001672084686692128,
tsa:k8:s64:a0.550,TSA,8,64,0.55,nan,1.0548616206725328,2.2414303140249103,5503,-0.0023123562751750904,0.0001285697313754421,
lawa:k8:s64:a1.000,LAWA,8,64,1.0,nan,1.057563622858029,2.2608943439554423,5503,0.00038964591032098275,0.00022945562448769798,
tsa:k16:s16:a0.550,TSA,16,16,0.55,nan,1.0549388741250274,2.2297034109942615,5503,-0.0022351028226803376,0.00010103222260488216,
lawa:k16:s16:a1.000,LAWA,16,16,1.0,nan,1.0565335049543243,2.2551409038715065,5503,-0.0006404719933835885,0.00017500164895278413,
tsa:k16:s32:a0.550,TSA,16,32,0.55,nan,1.0547405004005048,2.25778191909194,5503,-0.0024334765472030424,0.00013209497515828252,
lawa:k16:s32:a1.000,LAWA,16,32,1.0,nan,1.0576643853467063,2.255585979903117,5503,0.0004904083989985229,0.00023517612612181725,
tsa:k16:s64:a0.550,TSA,16,64,0.55,nan,1.0556644744729466,2.4057039108593017,5503,-0.0015095024747611059,0.00019131161781608605,
lawa:k16:s64:a1.000,LAWA,16,64,1.0,nan,1.062274813595087,2.251273881876841,5503,0.005100836647379367,0.0003109091335975876,
ewa:beta0.50:k8:s32,Matched-window EWA,8,32,nan,0.5,1.055262223252525,2.3087909549940377,5503,-0.0019117536951827687,8.360541307127582e-05,
ewa:beta0.75:k8:s32,Matched-window EWA,8,32,nan,0.75,1.0551413168676174,2.268227362073958,5503,-0.002032660080090449,0.00012323670308258424,
ewa:beta0.90:k8:s32,Matched-window EWA,8,32,nan,0.9,1.0557241353967395,2.256079083075747,5503,-0.001449841550968372,0.00014929928533818763,
ewa:beta0.95:k8:s32,Matched-window EWA,8,32,nan,0.95,1.0560110223504156,2.2944360859692097,5503,-0.0011629545972924812,0.0001610226326727026,
ema:0.95:16:16,Checkpoint EMA,16,16,nan,0.95,1.0559216974041183,2.254953356925398,5503,-0.0012522795435892843,0.00015923039716502063,
swastyle:32:16,SWA-style late average,32,16,1.0,nan,1.0577786679871606,2.3401532541029155,5503,0.0006046910394527915,0.00023990332875235915,
adaptive:hybrid:8:32:1.0:all,Adaptive TSA (all tensors),8,32,0.5863408577337462,nan,1.0550816240771093,2.3084112079814076,5503,-0.002092352870598762,9.337450157139878e-05,0.5863408577337462
adaptive:hybrid:8:32:1.0:muon,Adaptive TSA (Muon tensors),8,32,0.14942532843486192,nan,1.055067280336182,2.4092738300096244,5503,-0.0021066966115258407,7.218759847228551e-05,0.14942532843486192
