recipe,method,alpha,step,eval_kind,bpb,bpb_se,nll,nll_se,n_eval_batches,eval_seconds,floor,trajectory_id,lr_multiplier,stream_seed,paired_delta_vs_raw,paired_se_vs_raw,paired_z_vs_raw,window,spacing,ema_beta,mean_alpha_by_numel
raw,Raw iterate,0.0,248,curve,1.5401931084343352,0.02022854077062733,4.992181032896042,0.03948076942403707,32,1.0731427210848778,0.05,floor_05p00pct,0.4,,,,,,,,
tsa:0.100,TSA alpha=0.10,0.1,248,curve,1.5417980152983821,0.020263177851742992,4.997539445757866,0.03942197653729828,32,0.8242459429893643,0.05,floor_05p00pct,0.4,,0.0016049068640469275,0.00032237317895649446,4.978413121221589,8,32,,
tsa:0.200,TSA alpha=0.20,0.2,248,curve,1.5495176494309555,0.02030321332814771,5.022756204009056,0.03926046717602622,32,0.8623097520321608,0.05,floor_05p00pct,0.4,,0.009324540996620355,0.000643814836487365,14.483265169058201,8,32,,
tsa:0.300,TSA alpha=0.30,0.3,248,curve,1.5622373504788303,0.02033392963323335,5.064223721623421,0.03898253116544053,32,0.9511510150041431,0.05,floor_05p00pct,0.4,,0.02204424204449497,0.000970389311175993,22.716905257107634,8,32,,
tsa:0.400,TSA alpha=0.40,0.4,248,curve,1.5790823651987527,0.02036870186708569,5.1190793216228485,0.03862868461955221,32,0.9832941649947315,0.05,floor_05p00pct,0.4,,0.038889256764417346,0.001321882701688456,29.419597302199094,8,32,,
tsa:0.500,TSA alpha=0.50,0.5,248,curve,1.5986464856828775,0.02040010645016805,5.182770267128944,0.03820504239641542,32,0.9536970078479499,0.05,floor_05p00pct,0.4,,0.058453377248542424,0.001693011811113896,34.52626665970142,8,32,,
tsa:0.550,TSA alpha=0.55,0.55,248,curve,1.6091873806270098,0.020417268238795593,5.217089042067528,0.03796992306921672,32,0.9341653920710087,0.05,floor_05p00pct,0.4,,0.06899427219267479,0.001887806891082291,36.547314515373955,8,32,,
tsa:0.600,TSA alpha=0.60,0.6,248,curve,1.619825445001465,0.020432482800099065,5.251713439822197,0.03773444061566583,32,0.943319636862725,0.05,floor_05p00pct,0.4,,0.07963233656712974,0.0020817140145295227,38.253254775309294,8,32,,
tsa:0.650,TSA alpha=0.65,0.65,248,curve,1.6311086090043714,0.02045664175442972,5.288435772061348,0.03748605438829445,32,0.965309371938929,0.05,floor_05p00pct,0.4,,0.09091550057003617,0.00230000572839898,39.528380059001805,8,32,,
tsa:0.700,TSA alpha=0.70,0.7,248,curve,1.6422850563636833,0.02048219895603118,5.324802383780479,0.03724999410439843,32,0.9517059740610421,0.05,floor_05p00pct,0.4,,0.10209194792934789,0.0025192458956970853,40.5248047059331,8,32,,
tsa:0.750,TSA alpha=0.75,0.75,248,curve,1.6534992798426051,0.020506977781902486,5.361289843916893,0.03700052565099561,32,0.9610404008999467,0.05,floor_05p00pct,0.4,,0.11330617140827004,0.002742079577048863,41.321255720162114,8,32,,
tsa:0.800,TSA alpha=0.80,0.8,248,curve,1.665111870026684,0.020533410924997546,5.399087503552437,0.03675312504703781,32,0.9217623760923743,0.05,floor_05p00pct,0.4,,0.12491876159234877,0.002982658518129034,41.88168401882894,8,32,,
tsa:0.900,TSA alpha=0.90,0.9,248,curve,1.6884783348191426,0.020617390996446883,5.475099757313728,0.03631610317460837,32,0.9407308229710907,0.05,floor_05p00pct,0.4,,0.14828522638480734,0.0034897784452728254,42.49130101243853,8,32,,
tsa:1.000,Uniform LAWA,1.0,248,curve,1.711739800731989,0.020717030643559443,5.550762414932251,0.03591002805407261,32,0.975734531879425,0.05,floor_05p00pct,0.4,,0.1715466922976539,0.004019950368966798,42.67383339405372,8,32,,
raw,Raw iterate,0.0,504,curve,1.3218376917395127,0.017677670621086463,4.2871511951088905,0.04379247039602766,32,0.9860954368487,0.05,floor_05p00pct,0.4,,,,,,,,
tsa:0.100,TSA alpha=0.10,0.1,504,curve,1.3147290482571947,0.01766479403023601,4.263988271355629,0.04374223676426542,32,0.9759075930342078,0.05,floor_05p00pct,0.4,,-0.007108643482317906,0.00021215015788865422,-33.5076040153071,8,32,,
tsa:0.200,TSA alpha=0.20,0.2,504,curve,1.3106481802676306,0.017656452330897132,4.250647775828838,0.043599888638294206,32,1.0137166979257017,0.05,floor_05p00pct,0.4,,-0.011189511471882088,0.0004313195105296756,-25.942511754548207,8,32,,
tsa:0.300,TSA alpha=0.30,0.3,504,curve,1.3085371511503947,0.017659281063223238,4.243676222860813,0.04341492340561006,32,0.9619101220741868,0.05,floor_05p00pct,0.4,,-0.013300540589117983,0.000685346241561396,-19.40703805249725,8,32,,
tsa:0.400,TSA alpha=0.40,0.4,504,curve,1.3087149593176604,0.01766774494898414,4.244135059416294,0.04318158066263766,32,0.9720284950453788,0.05,floor_05p00pct,0.4,,-0.013122732421852426,0.0009519446411069913,-13.785184405883463,8,32,,
tsa:0.500,TSA alpha=0.50,0.5,504,curve,1.3105342363245596,0.017684106538707053,4.249910235404968,0.04291400498015109,32,0.976748620858416,0.05,floor_05p00pct,0.4,,-0.01130345541495336,0.0012602297366110017,-8.969360971714975,8,32,,
tsa:0.550,TSA alpha=0.55,0.55,504,curve,1.3121386977544585,0.017699886726670264,4.255049251019955,0.04277390818217686,32,0.8060148600488901,0.05,floor_05p00pct,0.4,,-0.009698993985054166,0.0014193581310354448,-6.833366275203985,8,32,,
tsa:0.600,TSA alpha=0.60,0.6,504,curve,1.3140664894550214,0.017715213581764727,4.261235766112804,0.042632265272988905,32,0.8804404670372605,0.05,floor_05p00pct,0.4,,-0.007771202284491317,0.001585429994230759,-4.901636977204949,8,32,,
tsa:0.650,TSA alpha=0.65,0.65,504,curve,1.3164823295501233,0.017732934487345673,4.26901089400053,0.04247754371525189,32,0.9366589239798486,0.05,floor_05p00pct,0.4,,-0.005355362189389291,0.0017606724172384825,-3.041657344634774,8,32,,
tsa:0.700,TSA alpha=0.70,0.7,504,curve,1.3191902964275326,0.017755519140045223,4.27772344648838,0.04232285724070731,32,0.9323649269063026,0.05,floor_05p00pct,0.4,,-0.002647395311980126,0.0019347476230841963,-1.3683414210686005,8,32,,
tsa:0.750,TSA alpha=0.75,0.75,504,curve,1.3222755688271888,0.017777811652212084,4.287668265402317,0.04216175450058295,32,0.9626690340228379,0.05,floor_05p00pct,0.4,,0.00043787708767601546,0.0021120323379951755,0.20732499204612828,8,32,,
tsa:0.800,TSA alpha=0.80,0.8,504,curve,1.3256875799347383,0.01780067964544329,4.298673965036869,0.04200753600591028,32,0.9198724450543523,0.05,floor_05p00pct,0.4,,0.003849888195225408,0.0022963621058925817,1.6765161667432151,8,32,,
tsa:0.900,TSA alpha=0.90,0.9,504,curve,1.3333755727848469,0.01785628162990822,4.32348745316267,0.04169258102230867,32,0.9568820321001112,0.05,floor_05p00pct,0.4,,0.011537881045334195,0.002657316559570724,4.341929456533429,8,32,,
tsa:1.000,Uniform LAWA,1.0,504,curve,1.3420129507892091,0.017909961488766363,4.351379670202732,0.04135811072420755,32,0.9271468848455697,0.05,floor_05p00pct,0.4,,0.020175259049696304,0.0030159592672634092,6.689499844605901,8,32,,
raw,Raw iterate,0.0,760,curve,1.2518462285700251,0.017326265125354193,4.060645990073681,0.04532386744377154,32,0.9881681192200631,0.05,floor_05p00pct,0.4,,,,,,,,
tsa:0.100,TSA alpha=0.10,0.1,760,curve,1.2423632890492446,0.01730891407274325,4.029899097979069,0.04548674212321366,32,1.2126860590651631,0.05,floor_05p00pct,0.4,,-0.009482939520780179,0.00018692650005969753,-50.730846176179796,8,32,,
tsa:0.200,TSA alpha=0.20,0.2,760,curve,1.2346217782757358,0.017293198580846433,4.004787810146809,0.04559235149470507,32,0.9628517320379615,0.05,floor_05p00pct,0.4,,-0.017224450294289075,0.00034408859137390274,-50.05818479919371,8,32,,
tsa:0.300,TSA alpha=0.30,0.3,760,curve,1.2286690126677047,0.017285927358332457,3.985484816133976,0.04568526903347613,32,0.9796308418735862,0.05,floor_05p00pct,0.4,,-0.023177215902320275,0.0004885366015746298,-47.44212783160256,8,32,,
tsa:0.400,TSA alpha=0.40,0.4,760,curve,1.2242635548683898,0.017286317122115497,3.9711871296167374,0.045751650379336234,32,1.0198683869093657,0.05,floor_05p00pct,0.4,,-0.027582673701635203,0.0006026862076600138,-45.76622685414943,8,32,,
tsa:0.500,TSA alpha=0.50,0.5,760,curve,1.2213455149011265,0.017295038822439292,3.961717538535595,0.04581647764778005,32,1.035726472036913,0.05,floor_05p00pct,0.4,,-0.030500713668898498,0.0007077666703217045,-43.094306284633134,8,32,,
tsa:0.550,TSA alpha=0.55,0.55,760,curve,1.2203500374717948,0.01729495534768065,3.958488680422306,0.04583031969865355,32,0.9903123341500759,0.05,floor_05p00pct,0.4,,-0.031496191098230236,0.0007573471341968634,-41.58752265119574,8,32,,
tsa:0.600,TSA alpha=0.60,0.6,760,curve,1.219525931696777,0.017298882644592468,3.955815963447094,0.04585536957579648,32,0.969908548053354,0.05,floor_05p00pct,0.4,,-0.03232029687324789,0.0007999940854112529,-40.40066978324346,8,32,,
tsa:0.650,TSA alpha=0.65,0.65,760,curve,1.2191709341989738,0.017304423462871577,3.9546519219875336,0.04586679234600533,32,0.9965063640847802,0.05,floor_05p00pct,0.4,,-0.03267529437105113,0.0008481661390105426,-38.52463906324959,8,32,,
tsa:0.700,TSA alpha=0.70,0.7,760,curve,1.21867247943826,0.017303882199537258,3.9530277475714684,0.04586114357739748,32,1.0237884039524943,0.05,floor_05p00pct,0.4,,-0.03317374913176491,0.0008773101018299817,-37.81302536305893,8,32,,
tsa:0.750,TSA alpha=0.75,0.75,760,curve,1.2189688715119162,0.017314697138279204,3.953979052603245,0.04588175468425681,32,1.0243369610980153,0.05,floor_05p00pct,0.4,,-0.03287735705810864,0.0009179084706003502,-35.81768565291209,8,32,,
