step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.454849183559418,0.4,150.10023113247007
500,4.769814729690552,0.4,299.82663131994195
750,4.399639993906021,0.4,449.48597885039635
1000,4.090740665793419,0.4,600.6755627319217
1250,4.039165809750557,0.3612205128205129,751.9756324361078
1500,3.8713108599185944,0.3125025641025641,903.651054302929
1750,3.796757772564888,0.2637846153846154,1056.322711228393
2000,3.756876051425934,0.21506666666666666,1210.1730938956607
2250,3.5650124549865723,0.16634871794871797,1362.9866752079688
2500,3.656296506524086,0.11763076923076923,1514.6214114262257
2750,3.6791229844093323,0.06891282051282052,1665.9395791464485
3000,3.5477962344884872,0.04000000000000001,1816.9621091438457
