step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.954417824745178,161.8624047782505,0.4,0.4,0.4,0.4
500,4.153192549943924,313.68171689251903,0.4,0.4,0.4,0.4
750,3.9998130947351456,465.7602448418038,0.4,0.4,0.4,0.4
1000,4.155104532837868,618.6356911121402,0.4,0.4,0.4,0.4
1250,3.7822219282388687,769.9509217956802,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.8544803112745285,920.4482238858473,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.698434457182884,1071.0720794628141,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.6088986694812775,1221.5715164477006,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.5414566844701767,1372.0361486673355,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.4888460636138916,1520.4382528279675,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.4631395488977432,1670.4390658945777,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.324596017599106,1821.11667463521,0.020194871794871797,0.020194871794871797,0.020194871794871797,0.020194871794871797
