name,layer,role,module,numel,shape,squareish,drift_energy,residual_energy,noise_fraction,mean_update_cosine,trajectory_score
transformer.h.0.attn.c_q.weight,0,attn_qkv,attn,589824,768x768,1,0.07987072318792343,0.24569610825606755,0.7546718047607253,0.3555336963889366,0.6995690541858943
transformer.h.0.attn.c_k.weight,0,attn_qkv,attn,589824,768x768,1,0.07982958853244781,0.24465053634984152,0.7539769544855563,0.3566479235925086,0.6986645154465239
transformer.h.0.attn.c_v.weight,0,attn_qkv,attn,589824,768x768,1,0.07606519758701324,0.23904916431222642,0.758610819486115,0.34770196596944464,0.7054544267583351
transformer.h.0.attn.c_proj.weight,0,attn_out,attn,589824,768x768,1,0.07332710176706314,0.23618380512510026,0.7630871800178239,0.34040821800283116,0.7113394810074964
transformer.h.0.mlp.c_fc.weight,0,mlp_up,mlp,2359296,3072x768,0,0.3853296637535095,1.2196592603410994,0.759917555835547,0.36194640101141246,0.6989855774120672
transformer.h.0.mlp.c_proj.weight,0,mlp_down,mlp,2359296,768x3072,0,0.08311436325311661,0.26451583419527325,0.7609115552584985,0.3512966951000864,0.704807430079206
transformer.h.1.attn.c_q.weight,1,attn_qkv,attn,589824,768x768,1,0.07679755985736847,0.24266688099929265,0.7596052955019604,0.34811621796976255,0.705744538766099
transformer.h.1.attn.c_k.weight,1,attn_qkv,attn,589824,768x768,1,0.07615965604782104,0.2412636705807277,0.7600691264352362,0.3484498418275961,0.70580964230382
transformer.h.1.attn.c_v.weight,1,attn_qkv,attn,589824,768x768,1,0.07250572741031647,0.2345961800643376,0.7639033635233915,0.3390209147818896,0.712441224370751
transformer.h.1.attn.c_proj.weight,1,attn_out,attn,589824,768x768,1,0.07171151787042618,0.2382527802671705,0.7686458785695616,0.3347864671454293,0.7169297057120662
transformer.h.1.attn.ve_gate.weight,1,attn_aux,attn,72,6x12,0,0.00029419796192087233,0.0017102798779628106,0.8532296261564338,0.06152870656193612,0.8958504597972489
transformer.h.1.mlp.c_fc.weight,1,mlp_up,mlp,2359296,3072x768,0,0.3650614321231842,1.2094225883483887,0.7681390046665288,0.3437948098595199,0.7121720974035045
transformer.h.1.mlp.c_proj.weight,1,mlp_down,mlp,2359296,768x3072,0,0.08113200962543488,0.27028004825115204,0.7691257092437966,0.33662489101749693,0.7162504091131499
