candidate_id,family,mean_gain_vs_raw,se_gain_vs_raw,lo95_gain_vs_raw,hi95_gain_vs_raw,mean_gain_vs_scalar,se_gain_vs_scalar,lo95_gain_vs_scalar,hi95_gain_vs_scalar
complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,complement_split,0.002275277607870888,8.635166488476477e-05,0.0020710559204184195,0.002479499295323357,0.00020504384482212482,2.0365053231824963e-05,0.00015688049392885878,0.00025320719571539086
complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.300,complement_split,0.0022525891728277,8.2511581084873e-05,0.002057449283561975,0.0024477290620934246,0.0001823554097789364,1.691290838524184e-05,0.00014235638144783946,0.00022235443811003335
complement_split|embedding=0.150|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,complement_split,0.002223798082405361,8.432164242211868e-05,0.0020243773980770504,0.0024232187667336718,0.00015356431935659772,2.2241281591745858e-05,0.00010096368839211876,0.0002061649503210767
complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.150,complement_split,0.0021981366679718396,8.152287032835678e-05,0.0020053350796452756,0.0023909382562984035,0.0001279029049230762,1.5892626868869662e-05,9.031684237819944e-05,0.00016548896746795296
square_rect_rest|rectangular=0.650|rest=0.250|square=0.550,square_rect_rest,0.0021965800785425918,7.987755209102742e-05,0.002007669667847312,0.0023854904892378717,0.00012634631549382838,2.026852161489641e-05,7.841126187459836e-05,0.0001742813691130584
complement_split|embedding=0.150|hidden=0.650|other=0.250|scalar=0.250|unembed=0.300,complement_split,0.0021962020223372015,8.196212720069553e-05,0.0020023615915075567,0.0023900424531668463,0.00012596825928843812,1.9677375042184766e-05,7.943126731367115e-05,0.00017250525126320508
attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,attn_mlp_rest,0.0021960273676595175,8.104252270442955e-05,0.002004361801463542,0.0023876929338554932,0.00012579360461075417,1.8986046066691986e-05,8.089160566302762e-05,0.0001706956035584807
functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,functional4,0.0021924189589663102,7.931289598252936e-05,0.0020048439599676285,0.002379993957964992,0.00012218519591754686,1.5048320415317607e-05,8.659591813532072e-05,0.000157774473699773
functional4|attn_out=0.550|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,functional4,0.002191052448175776,7.923481121280022e-05,0.0020036621196575038,0.0023784427766940486,0.00012081868512701282,1.6749525431887298e-05,8.120605748059935e-05,0.0001604313127734263
attn_mlp_rest|attn=0.450|mlp=0.650|rest=0.250,attn_mlp_rest,0.002187451330418263,7.49832798474598e-05,0.0020101158735790206,0.0023647867872575055,0.00011721756736949966,1.583904345747768e-05,7.975822959256495e-05,0.0001546769051464344
square_rect_rest|rectangular=0.650|rest=0.250|square=0.450,square_rect_rest,0.0021864044994683745,8.220910182500059e-05,0.0019919799736522483,0.0023808290252845007,0.00011617073641961113,2.1853047239910486e-05,6.448827969722283e-05,0.00016785319314199944
functional4|attn_out=0.650|mlp_down=0.650|mlp_up=0.650|qkv=0.450|rest=0.250,functional4,0.0021855934359964507,7.933180313603511e-05,0.0019979737215797275,0.002373213150413174,0.00011535967294768737,1.570679468247559e-05,7.821310352363258e-05,0.00015250624237174215
