step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.452294498682022,0.4,144.84660329288454
500,4.631886720657349,0.4,289.74090315186186
750,4.312550976872444,0.4,435.901016719843
1000,4.115450516343117,0.4,582.5316951368586
1250,3.9927502870559692,0.3612205128205129,728.8526383355784
1500,3.9348680526018143,0.3125025641025641,875.6547796315572
1750,3.8988920748233795,0.2637846153846154,1022.3218004106893
2000,3.8444502651691437,0.21506666666666666,1169.264510177367
2250,3.7103761583566666,0.16634871794871797,1315.6882971907617
2500,3.4822830706834793,0.11763076923076923,1461.551773524785
2750,3.6023383140563965,0.06891282051282052,1607.5497825430357
3000,3.5855999886989594,0.04000000000000001,1752.2057168889733
