step,train_loss,lr_multiplier,elapsed_training_seconds
250,4.88084089756012,0.4,164.6071546948515
500,4.280715525150299,0.4,306.9248985098675
750,4.011034518480301,0.4,453.1087484549498
1000,4.001296401023865,0.4,599.6520581969526
1250,3.8015898317098618,0.3612205128205129,745.9105034341337
1500,3.8639578074216843,0.3125025641025641,891.6463969437173
1750,3.6588834077119827,0.2637846153846154,1037.803213306237
2000,3.631478890776634,0.21506666666666666,1184.7434287294745
2250,3.6133066415786743,0.16634871794871797,1331.9914313486079
2500,3.5803639590740204,0.11763076923076923,1479.2532630243804
2750,3.4688291549682617,0.06891282051282052,1627.000667602173
3000,3.444911852478981,0.04000000000000001,1773.13164925226
