optimizer,floor,best_tested_alpha,linear_coefficient,quadratic_coefficient,fitted_vertex,r_squared
native,0.05,0.4,0.003799238958590688,-0.004535606022328755,0.4188237404094472,0.9997686673189992
native,0.1,0.55,0.007736743331323878,-0.007066733286428784,0.5474059241900219,0.99976323059251
native,0.15,0.7,0.015936905002684708,-0.011373453829480927,0.7006185298512815,0.9997020156991164
pure_adamw,0.05,0.3,0.001606082690351972,-0.0024360883444320643,0.3296437696980166,0.9998389321539692
pure_adamw,0.1,0.5,0.0038082979977209544,-0.0038163605233362623,0.4989436892078189,0.9994974334908439
pure_adamw,0.15,0.65,0.008331394936341517,-0.006237226943878355,0.6678765268047945,0.9999326505048983
