floor,floor_percent,selection_bpb,holdout_tsa_bpb_posthoc,holdout_raw_bpb_posthoc,selected
0.05,5.0,1.0684420237810757,1.0544960390307663,1.055376600281331,0
0.1,10.0,1.068105257758046,1.0543831287251646,1.0565213657581267,1
0.125,12.5,1.0685654152365294,1.0548838433653693,1.0580652161857536,0
0.15,15.0,1.0693655875265917,1.054974022877829,1.0595621996121933,0
0.175,17.5,1.07004483306743,1.0567836564863728,1.0629830139520697,0
