floor,eval_kind,recipe,method,alpha,bpb,bpb_se,paired_delta_vs_raw,paired_se_vs_raw,mean_alpha_by_numel
0.05,alpha_select,raw,Raw iterate,0.0,1.1001473879063954,0.011845790180711835,,,
0.05,alpha_select,tsa:0.100,TSA alpha=0.10,0.1,1.0997751574596746,0.011849052258396556,-0.00037223044672076225,2.6015501317102855e-05,
0.05,alpha_select,tsa:0.200,TSA alpha=0.20,0.2,1.099524157633917,0.011848222790684596,-0.0006232302724784693,4.063068030849917e-05,
0.05,alpha_select,tsa:0.300,TSA alpha=0.30,0.3,1.0993559831856232,0.011850992814788104,-0.0007914047207722066,5.539434236769126e-05,
0.05,alpha_select,tsa:0.400,TSA alpha=0.40,0.4,1.0992877082140124,0.011849789198683963,-0.000859679692383054,7.179941708157726e-05,
0.05,alpha_select,tsa:0.500,TSA alpha=0.50,0.5,1.0993386910596066,0.011852174624661765,-0.0008086968467888016,8.876936990380556e-05,
0.05,alpha_select,tsa:0.550,TSA alpha=0.55,0.55,1.0993957322005956,0.011854931595901348,-0.0007516557057999796,9.718485210097474e-05,
0.05,alpha_select,tsa:0.600,TSA alpha=0.60,0.6,1.0994735581976296,0.011855961374221652,-0.000673829708765835,0.00010696286382725217,
0.05,alpha_select,tsa:0.650,TSA alpha=0.65,0.65,1.0995367218439154,0.011858150479297055,-0.0006106660624799875,0.00011468231728927603,
0.05,alpha_select,tsa:0.700,TSA alpha=0.70,0.7,1.0996852066910452,0.011862585167862571,-0.000462181215350254,0.00012345933398801465,
0.05,alpha_select,tsa:0.750,TSA alpha=0.75,0.75,1.0998188794661083,0.011858547627779782,-0.0003285084402869943,0.00013134543340239448,
0.05,alpha_select,tsa:0.800,TSA alpha=0.80,0.8,1.0999945887670917,0.011861639218548862,-0.0001527991393035881,0.00014143015882775762,
0.05,alpha_select,tsa:0.900,TSA alpha=0.90,0.9,1.1003429148044779,0.011866511856032975,0.00019552689808252297,0.00015686918243633106,
0.05,alpha_select,tsa:1.000,Uniform LAWA,1.0,1.100837984501137,0.011870442755889762,0.0006905965947413585,0.0001737633636496821,
0.05,alpha_select,ema:0.95:16:16,Checkpoint EMA,nan,1.100498245092211,0.011869708818251359,0.00035085718581543725,0.0001627699568180223,
0.05,alpha_select,swastyle:32:16,SWA-style late average,nan,1.1022416372108905,0.011908207800225253,0.0020942493044951074,0.00024533787332790233,
0.05,alpha_select,adaptive:hybrid:8:32:1.0:all,Tensorwise adaptive TSA,0.5868601411584092,1.099433683032013,0.011854206081813975,-0.0007137048743825446,9.706961335593869e-05,0.5868601411584092
0.05,floor_select,raw,Raw iterate,0.0,1.0692841958360342,0.01309888308949283,,,
0.05,floor_select,tsa:0.100,TSA alpha=0.10,0.1,1.0689405195425037,0.013100176255403917,-0.0003436762935303001,2.612256226307544e-05,
0.05,floor_select,tsa:0.200,TSA alpha=0.20,0.2,1.0687027117757717,0.01309799435629825,-0.000581484060262363,3.8559393871193494e-05,
0.05,floor_select,tsa:0.300,TSA alpha=0.30,0.3,1.068494773364396,0.013094759209037913,-0.0007894224716382143,5.1768195833623335e-05,
0.05,floor_select,tsa:0.400,TSA alpha=0.40,0.4,1.0684420237810757,0.013093444955269836,-0.0008421720549585,6.506680622055709e-05,
0.05,floor_select,tsa:0.500,TSA alpha=0.50,0.5,1.068478919058131,0.013091541979267637,-0.0008052767779031279,7.538921318295659e-05,
0.05,floor_select,tsa:0.550,TSA alpha=0.55,0.55,1.0685233015226188,0.013091020948796337,-0.0007608943134152675,8.26386011935322e-05,
0.05,floor_select,tsa:0.600,TSA alpha=0.60,0.6,1.0686058518641506,0.013092477336841362,-0.0006783439718836652,9.028862243528424e-05,
0.05,floor_select,tsa:0.650,TSA alpha=0.65,0.65,1.0687050234764799,0.013094417838157726,-0.0005791723595542173,9.68021532827668e-05,
0.05,floor_select,tsa:0.700,TSA alpha=0.70,0.7,1.06882528550394,0.013091940674397024,-0.0004589103320942686,0.00010450731641430895,
0.05,floor_select,tsa:0.750,TSA alpha=0.75,0.75,1.0689619382054212,0.01309522271907976,-0.00032225763061287556,0.00011426573087697074,
0.05,floor_select,tsa:0.800,TSA alpha=0.80,0.8,1.0691202776392723,0.01309294145145486,-0.00016391819676174826,0.00011889618614705447,
0.05,floor_select,tsa:0.900,TSA alpha=0.90,0.9,1.0695148001772776,0.013091686968378962,0.00023060434124346808,0.0001340836384018879,
0.05,floor_select,tsa:1.000,Uniform LAWA,1.0,1.0699964522370862,0.01308967405323947,0.0007122564010522397,0.00014641642646038774,
0.05,floor_select,ema:0.95:16:16,Checkpoint EMA,nan,1.0696181948050087,0.013088689224478933,0.0003339989689744808,0.0001402234913458298,
0.05,floor_select,swastyle:32:16,SWA-style late average,nan,1.0711313966082385,0.013105075294712054,0.001847200772204424,0.00023144385053657293,
0.05,floor_select,adaptive:hybrid:8:32:1.0:all,Tensorwise adaptive TSA,0.5868601411584092,1.0685623682347434,0.013094725470541725,-0.0007218276012906436,8.338257170509048e-05,0.5868601411584092
0.05,holdout,raw,Raw iterate,0.0,1.055376600281331,0.01070293094517163,,,
0.05,holdout,tsa:0.100,TSA alpha=0.10,0.1,1.0550061578439867,0.01070152489821065,-0.00037044243734424043,2.0245089446034235e-05,
0.05,holdout,tsa:0.200,TSA alpha=0.20,0.2,1.0547557019651344,0.010703809284946634,-0.0006208983161967221,3.2130288894336e-05,
0.05,holdout,tsa:0.300,TSA alpha=0.30,0.3,1.0545826878226177,0.01070074257936017,-0.0007939124587134314,4.2772838440563346e-05,
0.05,holdout,tsa:0.400,TSA alpha=0.40,0.4,1.0544960390307663,0.010700696091499321,-0.0008805612505647237,5.689614346359299e-05,
0.05,holdout,tsa:0.500,TSA alpha=0.50,0.5,1.0544985487425385,0.01069788509097801,-0.0008780515387926449,6.981320773053517e-05,
0.05,holdout,tsa:0.550,TSA alpha=0.55,0.55,1.0545415120967967,0.010697128826027026,-0.000835088184534537,7.839937066985574e-05,
0.05,holdout,tsa:0.600,TSA alpha=0.60,0.6,1.0546219447967597,0.010697779064144534,-0.0007546554845713251,8.439291192209891e-05,
0.05,holdout,tsa:0.650,TSA alpha=0.65,0.65,1.0547133633000418,0.010697682802222512,-0.0006632369812894281,9.065644931230002e-05,
0.05,holdout,tsa:0.700,TSA alpha=0.70,0.7,1.054806091739776,0.010695357234806179,-0.0005705085415550435,9.982653465246735e-05,
0.05,holdout,tsa:0.750,TSA alpha=0.75,0.75,1.0549452640093977,0.010697434345676493,-0.00043133627193336563,0.00010524181636751656,
0.05,holdout,tsa:0.800,TSA alpha=0.80,0.8,1.0550910587714037,0.010696126266089793,-0.00028554150992727315,0.0001133194002908613,
0.05,holdout,tsa:0.900,TSA alpha=0.90,0.9,1.0554425607846076,0.010693606820952531,6.596050327656079e-05,0.00012568263806841322,
0.05,holdout,tsa:1.000,Uniform LAWA,1.0,1.0558816074885804,0.01069352069474563,0.000505007207249171,0.000140903477205752,
0.05,holdout,ema:0.95:16:16,Checkpoint EMA,nan,1.0555227864754224,0.010696335818919664,0.00014618619409120792,0.00013216602714362637,
0.05,holdout,swastyle:32:16,SWA-style late average,nan,1.0571505212600945,0.010692588174103826,0.0017739209787634123,0.00018376726682802622,
0.05,holdout,adaptive:hybrid:8:32:1.0:all,Tensorwise adaptive TSA,0.5868601411584092,1.0546076011399057,0.01069698734122651,-0.0007689991414255096,7.805516934223798e-05,0.5868601411584092
0.1,alpha_select,raw,Raw iterate,0.0,1.1015680334264375,0.011848268389641226,,,
0.1,alpha_select,tsa:0.100,TSA alpha=0.10,0.1,1.1008444298132543,0.011851705277250211,-0.0007236036131833632,2.226404475512622e-05,
0.1,alpha_select,tsa:0.200,TSA alpha=0.20,0.2,1.1002892819986225,0.011856065231735748,-0.00127875142781508,4.0785552519943816e-05,
0.1,alpha_select,tsa:0.300,TSA alpha=0.30,0.3,1.0997972506346056,0.011856199769977652,-0.0017707827918319978,6.826340811215625e-05,
0.1,alpha_select,tsa:0.400,TSA alpha=0.40,0.4,1.099543444534284,0.011864889978593529,-0.0020245888921535133,8.917966869461579e-05,
0.1,alpha_select,tsa:0.500,TSA alpha=0.50,0.5,1.0994174351719534,0.0118719105535241,-0.0021505982544838768,0.00010811816887416839,
0.1,alpha_select,tsa:0.550,TSA alpha=0.55,0.55,1.099402977872616,0.011873198996614834,-0.0021650555538214513,0.00011627424731977626,
0.1,alpha_select,tsa:0.600,TSA alpha=0.60,0.6,1.0994186105466366,0.011874159573336844,-0.002149422879800989,0.00012915876262851745,
0.1,alpha_select,tsa:0.650,TSA alpha=0.65,0.65,1.0994665812131539,0.011879588612188123,-0.002101452213283641,0.00013947373981596374,
0.1,alpha_select,tsa:0.700,TSA alpha=0.70,0.7,1.0995410043161697,0.01187931501387881,-0.0020270291102679368,0.0001471520507372707,
0.1,alpha_select,tsa:0.750,TSA alpha=0.75,0.75,1.0996873052015177,0.011883109759985506,-0.0018807282249199558,0.00016112438456452398,
0.1,alpha_select,tsa:0.800,TSA alpha=0.80,0.8,1.0998410643846963,0.011885017422332318,-0.0017269690417413379,0.00016834976955718044,
0.1,alpha_select,tsa:0.900,TSA alpha=0.90,0.9,1.1002496221707638,0.011890078846780505,-0.0013184112556736509,0.00018585446608035522,
0.1,alpha_select,tsa:1.000,Uniform LAWA,1.0,1.1007799651082144,0.011895220711165345,-0.0007880683182229335,0.0002020734330489084,
0.1,alpha_select,ema:0.95:16:16,Checkpoint EMA,nan,1.1003900174127286,0.011897067726981136,-0.0011780160137087464,0.00019707290701632802,
0.1,alpha_select,swastyle:32:16,SWA-style late average,nan,1.1023911822096966,0.01192267475680425,0.000823148783258983,0.0002862516123913672,
0.1,alpha_select,adaptive:hybrid:8:32:1.0:all,Tensorwise adaptive TSA,0.5864739920488892,1.099483780251571,0.011872574631281907,-0.0020842531748665617,0.0001142502270043007,0.5864739920488892
0.1,floor_select,raw,Raw iterate,0.0,1.0702239792575172,0.013113480830167674,,,
0.1,floor_select,tsa:0.100,TSA alpha=0.10,0.1,1.069496193233721,0.013116959056930035,-0.0007277860237963792,3.0456625196098465e-05,
0.1,floor_select,tsa:0.200,TSA alpha=0.20,0.2,1.0688842662641778,0.013115209182379876,-0.0013397129933397523,4.578434805083862e-05,
0.1,floor_select,tsa:0.300,TSA alpha=0.30,0.3,1.0683940882611975,0.01310916994612263,-0.001829890996319774,6.876411753536597e-05,
0.1,floor_select,tsa:0.400,TSA alpha=0.40,0.4,1.068105257758046,0.013108246433760358,-0.0021187214994710345,8.794457172093902e-05,
0.1,floor_select,tsa:0.500,TSA alpha=0.50,0.5,1.0679727205337661,0.013109503108830436,-0.0022512587237511015,0.00010957665099453444,
0.1,floor_select,tsa:0.550,TSA alpha=0.55,0.55,1.0679215672407518,0.013109275990145008,-0.002302412016765603,0.00012065328746390607,
0.1,floor_select,tsa:0.600,TSA alpha=0.60,0.6,1.0679608421129418,0.013111475347655588,-0.0022631371445755565,0.0001303340659093328,
0.1,floor_select,tsa:0.650,TSA alpha=0.65,0.65,1.0680120516611216,0.013111824424741344,-0.0022119275963957893,0.00014349042286085746,
0.1,floor_select,tsa:0.700,TSA alpha=0.70,0.7,1.068099396380356,0.013107296308544613,-0.002124582877161366,0.00015157183323637283,
0.1,floor_select,tsa:0.750,TSA alpha=0.75,0.75,1.0681889355972833,0.013110656832466235,-0.0020350436602340795,0.00016217925254177464,
0.1,floor_select,tsa:0.800,TSA alpha=0.80,0.8,1.0683520550770067,0.013107201078790666,-0.0018719241805106764,0.00017081256344438054,
0.1,floor_select,tsa:0.900,TSA alpha=0.90,0.9,1.0687615510341404,0.013109666915514908,-0.0014624282233770113,0.0001924918155303362,
0.1,floor_select,tsa:1.000,Uniform LAWA,1.0,1.0693137330997395,0.013112050570047235,-0.0009102461577777683,0.00021487279325772975,
0.1,floor_select,ema:0.95:16:16,Checkpoint EMA,nan,1.0689054269751952,0.013110721524808862,-0.0013185522823220205,0.00020846166579938002,
0.1,floor_select,swastyle:32:16,SWA-style late average,nan,1.0706532835962383,0.013131070259841197,0.0004293043387208883,0.00029168416290212344,
0.1,floor_select,adaptive:hybrid:8:32:1.0:all,Tensorwise adaptive TSA,0.5864739920488892,1.0680314595581244,0.013107231797863205,-0.002192519699392945,0.00011688332990752298,0.5864739920488892
0.1,holdout,raw,Raw iterate,0.0,1.0565213657581267,0.010758711088286315,,,
0.1,holdout,tsa:0.100,TSA alpha=0.10,0.1,1.0557724734221616,0.010758571800103147,-0.0007488923359650068,2.3178741900520395e-05,
0.1,holdout,tsa:0.200,TSA alpha=0.20,0.2,1.055175683946031,0.010756154779373864,-0.001345681812095997,4.0927999395385706e-05,
0.1,holdout,tsa:0.300,TSA alpha=0.30,0.3,1.0546568348001257,0.010750269881518284,-0.0018645309580008404,6.181533397993292e-05,
0.1,holdout,tsa:0.400,TSA alpha=0.40,0.4,1.0543831287251646,0.010749603723666361,-0.002138237032962252,8.008430345216872e-05,
0.1,holdout,tsa:0.500,TSA alpha=0.50,0.5,1.0542480325884127,0.01074996846046714,-0.0022733331697140854,9.88363747831906e-05,
0.1,holdout,tsa:0.550,TSA alpha=0.55,0.55,1.054233627920704,0.010748307863561717,-0.0022877378374225924,0.00010875682703464136,
0.1,holdout,tsa:0.600,TSA alpha=0.60,0.6,1.0542402788504701,0.010746830144533832,-0.0022810869076566507,0.00011683646956574399,
0.1,holdout,tsa:0.650,TSA alpha=0.65,0.65,1.0542900758416047,0.010746805832522816,-0.0022312899165220974,0.00012611774820019226,
0.1,holdout,tsa:0.700,TSA alpha=0.70,0.7,1.0543558501496264,0.01074758987558511,-0.002165515608500325,0.00013422470615650996,
0.1,holdout,tsa:0.750,TSA alpha=0.75,0.75,1.0544780784944525,0.010745893055450501,-0.002043287263674382,0.00014467996741449252,
0.1,holdout,tsa:0.800,TSA alpha=0.80,0.8,1.0546088030149185,0.010746244938947744,-0.0019125627432080735,0.00015360204246977658,
0.1,holdout,tsa:0.900,TSA alpha=0.90,0.9,1.0550199920762415,0.010746612692913854,-0.0015013736818852892,0.00017203072302754093,
0.1,holdout,tsa:1.000,Uniform LAWA,1.0,1.0555559108281305,0.010745530945529507,-0.000965454929996287,0.00018837746696354456,
0.1,holdout,ema:0.95:16:16,Checkpoint EMA,nan,1.0551433900347824,0.010747544215710824,-0.0013779757233442675,0.00017959076234748175,
0.1,holdout,swastyle:32:16,SWA-style late average,nan,1.0569946276920608,0.010736111147734977,0.00047326193393423924,0.00021786772252245767,
0.1,holdout,adaptive:hybrid:8:32:1.0:all,Tensorwise adaptive TSA,0.5864739920488892,1.054287233256983,0.010748503203238927,-0.002234132501143763,0.0001048238788350883,0.5864739920488892
0.125,alpha_select,raw,Raw iterate,0.0,1.102549088937001,0.011859416021654516,,,
0.125,alpha_select,tsa:0.100,TSA alpha=0.10,0.1,1.1016056911084369,0.01185928447671781,-0.0009433978285638533,2.9456606688767628e-05,
0.125,alpha_select,tsa:0.200,TSA alpha=0.20,0.2,1.1006645646038997,0.011861040234054421,-0.0018845243331012344,4.958177693638572e-05,
0.125,alpha_select,tsa:0.300,TSA alpha=0.30,0.3,1.099855775532632,0.011861401415213912,-0.0026933134043688987,7.51665075404494e-05,
0.125,alpha_select,tsa:0.400,TSA alpha=0.40,0.4,1.0993403067135934,0.011862566004985427,-0.003208782223407654,9.771421780118099e-05,
0.125,alpha_select,tsa:0.500,TSA alpha=0.50,0.5,1.0989744887080763,0.011866423483984262,-0.0035746002289245276,0.00012206527549257074,
0.125,alpha_select,tsa:0.550,TSA alpha=0.55,0.55,1.0988885466091514,0.011866558834276118,-0.0036605423278495627,0.00013334151445945844,
0.125,alpha_select,tsa:0.600,TSA alpha=0.60,0.6,1.098821838627369,0.011866761793264055,-0.0037272503096318493,0.0001463576949395136,
0.125,alpha_select,tsa:0.650,TSA alpha=0.65,0.65,1.0988220693877788,0.011868712404982792,-0.0037270195492222057,0.00015734074907255917,
0.125,alpha_select,tsa:0.700,TSA alpha=0.70,0.7,1.0988605655209527,0.011866171859729468,-0.0036885234160482123,0.00017005827617279628,
0.125,alpha_select,tsa:0.750,TSA alpha=0.75,0.75,1.098939653140556,0.011867996422348741,-0.003609435796445003,0.00017968540943580155,
0.125,alpha_select,tsa:0.800,TSA alpha=0.80,0.8,1.0990418187029118,0.011871091203727282,-0.003507270234088932,0.0001919939603567454,
0.125,alpha_select,tsa:0.900,TSA alpha=0.90,0.9,1.0994367125264357,0.011874388647979852,-0.003112376410565049,0.00021176103082689267,
0.125,alpha_select,tsa:1.000,Uniform LAWA,1.0,1.0999677365717828,0.011879416145581648,-0.0025813523652179985,0.0002386154302691028,
0.125,alpha_select,ema:0.95:16:16,Checkpoint EMA,nan,1.0995986474498678,0.011873594598931116,-0.002950441487133226,0.00022129997914241894,
0.125,alpha_select,swastyle:32:16,SWA-style late average,nan,1.1018210740411911,0.011890694484662373,-0.0007280148958097206,0.0002952807518499948,
0.125,alpha_select,adaptive:hybrid:8:32:1.0:all,Tensorwise adaptive TSA,0.5866579820201219,1.0989914273419084,0.011867925170287168,-0.0035576615950924755,0.00012689779483944475,0.5866579820201219
0.125,floor_select,raw,Raw iterate,0.0,1.0717427309045104,0.013122010870089802,,,
0.125,floor_select,tsa:0.100,TSA alpha=0.10,0.1,1.0707637729182196,0.013128608234391274,-0.000978957986290968,3.7206938853725505e-05,
0.125,floor_select,tsa:0.200,TSA alpha=0.20,0.2,1.0698624478471208,0.013125956189958233,-0.001880283057389586,5.8259441049247924e-05,
0.125,floor_select,tsa:0.300,TSA alpha=0.30,0.3,1.069058354716025,0.013118112582622143,-0.00268437618848515,7.941055718171814e-05,
0.125,floor_select,tsa:0.400,TSA alpha=0.40,0.4,1.0685654152365294,0.013113995652414502,-0.003177315667981106,0.00010082592532803258,
0.125,floor_select,tsa:0.500,TSA alpha=0.50,0.5,1.0682295950784133,0.013114538342265492,-0.0035131358260971773,0.00011990740799568649,
0.125,floor_select,tsa:0.550,TSA alpha=0.55,0.55,1.068154373447818,0.013113298525548421,-0.003588357456692214,0.00013486687861375345,
0.125,floor_select,tsa:0.600,TSA alpha=0.60,0.6,1.0680799557297431,0.0131122756683348,-0.003662775174767126,0.0001444967869834442,
0.125,floor_select,tsa:0.650,TSA alpha=0.65,0.65,1.068076672085709,0.013111580542354643,-0.003666058818801436,0.00015908232903241574,
