method,bpb,delta_vs_raw,paired_ci95
Raw iterate,1.055376600281331,0.0,0.0
Checkpoint EMA,1.0555227864754224,0.00014618619409120792,0.0002590454132015077
SWA-style late average,1.0571505212600945,0.0017739209787634123,0.0003601838429829314
Uniform LAWA,1.0558816074885804,0.000505007207249171,0.0002761708153232739
TSA ($\alpha=0.40$),1.0544960390307663,-0.0008805612505647237,0.00011151644118864225
