alpha,selection_bpb,holdout_bpb_posthoc,selected
0.0,1.1001473879063954,1.055376600281331,0
0.1,1.0997751574596746,1.0550061578439867,0
0.2,1.099524157633917,1.0547557019651344,0
0.3,1.0993559831856232,1.0545826878226177,0
0.4,1.0992877082140124,1.0544960390307663,1
0.5,1.0993386910596066,1.0544985487425385,0
0.55,1.0993957322005956,1.0545415120967967,0
0.6,1.0994735581976296,1.0546219447967597,0
0.65,1.0995367218439154,1.0547133633000418,0
0.7,1.0996852066910452,1.054806091739776,0
0.75,1.0998188794661083,1.0549452640093977,0
0.8,1.0999945887670917,1.0550910587714037,0
0.9,1.1003429148044779,1.0554425607846076,0
1.0,1.100837984501137,1.0558816074885804,0
