step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.9357814490795135,166.1328934332123,0.4,0.4,0.4,0.4
500,4.271115526556969,314.45717528206296,0.4,0.4,0.4,0.4
750,4.018767714500427,460.51397931796964,0.4,0.4,0.4,0.4
1000,3.9547357857227325,606.3631273657084,0.4,0.4,0.4,0.4
1250,3.8962488621473312,753.6428939567413,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.6544284969568253,901.0414711309131,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.772337168455124,1048.8089838959277,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.558149054646492,1196.8264741441235,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.6484623551368713,1344.9953406872228,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.487242341041565,1493.6569961884525,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.4915470480918884,1641.9048038342735,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.4245235174894333,1790.5047358679585,0.03430265942558662,0.03430265942558662,0.03430265942558662,0.03430265942558662
