step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,5.098206728696823,166.93811989899768,0.4,0.4,0.4,0.4
500,4.299302235245705,313.8348054579965,0.4,0.4,0.4,0.4
750,4.049788072705269,461.275025659992,0.4,0.4,0.4,0.4
1000,3.8888470232486725,609.5146649019862,0.4,0.4,0.4,0.4
1250,3.900356411933899,757.971408145997,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.8225195109844208,906.2615604479925,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.7185298800468445,1054.2057152029884,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.674447998404503,1202.3913889889918,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.663255497813225,1350.497766713981,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.57231205701828,1498.6917938339684,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.4255026429891586,1646.900322924981,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.5112060606479645,1795.0106594079825,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001
