step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.450517028570175,0.4,148.70516323304037
500,4.751890629529953,0.4,296.46133672390715
750,4.347104489803314,0.4,444.5526448566234
1000,4.0761009603738785,0.4,592.5043593533046
1250,3.941502347588539,0.3612205128205129,740.9790908026916
1500,3.9710046499967575,0.3125025641025641,888.7919692276337
1750,3.7966952174901962,0.2637846153846154,1037.242247082555
2000,3.8242616057395935,0.21506666666666666,1185.5821178266779
2250,3.6465287506580353,0.16634871794871797,1332.349075316568
2500,3.707100421190262,0.11763076923076923,1478.5094581116282
2750,3.576239988207817,0.06891282051282052,1624.514528002881
3000,3.5561406910419464,0.04000000000000001,1770.0165791312174
