step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.376252293586731,0.4,147.6690424340777
500,4.785839408636093,0.4,293.76813716301695
750,4.326838985085487,0.4,439.74161313055083
1000,4.2087883949279785,0.4,585.5575880897231
1250,3.946738600730896,0.3612205128205129,731.4078169767745
1500,3.9840371012687683,0.3125025641025641,877.5445849986281
1750,3.761427491903305,0.2637846153846154,1025.3168376598042
2000,3.733464077115059,0.21506666666666666,1174.1928019034676
2250,3.712891072034836,0.16634871794871797,1320.4834366578143
2500,3.6867880821228027,0.11763076923076923,1466.2548733605072
2750,3.5897559821605682,0.06891282051282052,1612.1412501181476
3000,3.585481896996498,0.04000000000000001,1759.1096817313228
