candidate_id,family,bpb,gain_vs_raw,paired_se,spec_json
raw,raw,1.0985612043243667,0.0,0.0,
scalar|alpha=0.500,scalar,1.0975291172138715,0.0010320871104950655,6.819230087540406e-05,"{""candidate_id"":""scalar|alpha=0.500"",""family"":""scalar"",""params"":{""alpha"":0.5}}"
adaptive_affine|intercept=0.450|rest=0.250|slope=0.250,adaptive_affine,1.0974613790206769,0.001099825303689837,7.70273330486575e-05,"{""candidate_id"":""adaptive_affine|intercept=0.450|rest=0.250|slope=0.250"",""family"":""adaptive_affine"",""params"":{""intercept"":0.45,""rest"":0.25,""slope"":0.25}}"
adaptive_binary|high=0.650|low=0.550|rest=0.250,adaptive_binary,1.0974519505299059,0.0011092537944606812,7.03192474296229e-05,"{""candidate_id"":""adaptive_binary|high=0.650|low=0.550|rest=0.250"",""family"":""adaptive_binary"",""params"":{""high"":0.65,""low"":0.55,""rest"":0.25}}"
attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250,attn_mlp_rest,1.0974835125326077,0.0010776917917590678,7.232861388737891e-05,"{""candidate_id"":""attn_mlp_rest|attn=0.550|mlp=0.650|rest=0.250"",""family"":""attn_mlp_rest"",""params"":{""attn"":0.55,""mlp"":0.65,""rest"":0.25}}"
complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,complement_split,1.0973179516043376,0.0012432527200287753,7.560394745914448e-05,"{""candidate_id"":""complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450"",""family"":""complement_split"",""params"":{""embedding"":0.0,""hidden"":0.65,""other"":0.25,""scalar"":0.25,""unembed"":0.45}}"
depth_half_rest|early=0.650|late=0.550|rest=0.250,depth_half_rest,1.0974865448979132,0.0010746594264536165,6.764714506313326e-05,"{""candidate_id"":""depth_half_rest|early=0.650|late=0.550|rest=0.250"",""family"":""depth_half_rest"",""params"":{""early"":0.65,""late"":0.55,""rest"":0.25}}"
depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250,depth_thirds_rest,1.0974613289795785,0.0010998753447879737,7.400980199375762e-05,"{""candidate_id"":""depth_thirds_rest|early=0.650|late=0.650|middle=0.650|rest=0.250"",""family"":""depth_thirds_rest"",""params"":{""early"":0.65,""late"":0.65,""middle"":0.65,""rest"":0.25}}"
functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250,functional4,1.0974661952019633,0.001095009122403218,7.104050474112505e-05,"{""candidate_id"":""functional4|attn_out=0.450|mlp_down=0.650|mlp_up=0.650|qkv=0.650|rest=0.250"",""family"":""functional4"",""params"":{""attn_out"":0.45,""mlp_down"":0.65,""mlp_up"":0.65,""qkv"":0.65,""rest"":0.25}}"
hidden_rest|hidden=0.625|rest=0.250,hidden_rest,1.0974651039022059,0.001096100422160418,7.166982173062874e-05,"{""candidate_id"":""hidden_rest|hidden=0.625|rest=0.250"",""family"":""hidden_rest"",""params"":{""hidden"":0.625,""rest"":0.25}}"
input_write_rest|input=0.650|rest=0.250|write=0.550,input_write_rest,1.0974652819999182,0.0010959223244484118,6.932836928706455e-05,"{""candidate_id"":""input_write_rest|input=0.650|rest=0.250|write=0.550"",""family"":""input_write_rest"",""params"":{""input"":0.65,""rest"":0.25,""write"":0.55}}"
layer_scan|base=0.650|layer=7|rest=0.250|target=0.450,layer_scan,1.0974697147319097,0.0010914895924567316,7.06506885799199e-05,"{""candidate_id"":""layer_scan|base=0.650|layer=7|rest=0.250|target=0.450"",""family"":""layer_scan"",""params"":{""base"":0.65,""layer"":7,""rest"":0.25,""target"":0.45}}"
module_layer_scan|base=0.650|layer=11|module=attn|rest=0.250|target=0.450,module_layer_scan,1.0974588817192368,0.00110232260512978,7.382824056887984e-05,"{""candidate_id"":""module_layer_scan|base=0.650|layer=11|module=attn|rest=0.250|target=0.450"",""family"":""module_layer_scan"",""params"":{""base"":0.65,""layer"":11,""module"":""attn"",""rest"":0.25,""target"":0.45}}"
square_rect_rest|rectangular=0.650|rest=0.250|square=0.550,square_rect_rest,1.0974789414267594,0.0010822628976071454,7.014753994225809e-05,"{""candidate_id"":""square_rect_rest|rectangular=0.650|rest=0.250|square=0.550"",""family"":""square_rect_rest"",""params"":{""rectangular"":0.65,""rest"":0.25,""square"":0.55}}"
complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.300,complement_split,1.0973714168746291,0.0011897874497372462,7.189747568782479e-05,"{""candidate_id"":""complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.300"",""family"":""complement_split"",""params"":{""embedding"":0.0,""hidden"":0.65,""other"":0.25,""scalar"":0.25,""unembed"":0.3}}"
complement_split|embedding=0.150|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450,complement_split,1.097371194767862,0.001190009556504729,7.813109889677356e-05,"{""candidate_id"":""complement_split|embedding=0.150|hidden=0.650|other=0.250|scalar=0.250|unembed=0.450"",""family"":""complement_split"",""params"":{""embedding"":0.15,""hidden"":0.65,""other"":0.25,""scalar"":0.25,""unembed"":0.45}}"
complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.150,complement_split,1.0974482254691076,0.0011129788552588203,6.89833166965468e-05,"{""candidate_id"":""complement_split|embedding=0.000|hidden=0.650|other=0.250|scalar=0.250|unembed=0.150"",""family"":""complement_split"",""params"":{""embedding"":0.0,""hidden"":0.65,""other"":0.25,""scalar"":0.25,""unembed"":0.15}}"
scalar|alpha=0.550,scalar,1.0975111292192412,0.0010500751051253341,7.663247604713446e-05,"{""candidate_id"":""scalar|alpha=0.550"",""family"":""scalar"",""params"":{""alpha"":0.55}}"
