name,layer,role,module,numel,shape,squareish,drift_energy,residual_energy,noise_fraction,mean_update_cosine,trajectory_score
transformer.h.0.attn.c_q.weight,0,attn_qkv,attn,589824,768x768,1,0.07993105798959732,0.24627238086291722,0.7549656181713758,0.35744231772523954,0.6987616502230681
transformer.h.0.attn.c_k.weight,0,attn_qkv,attn,589824,768x768,1,0.07944831252098083,0.24515271825449808,0.7552431909067661,0.3565530920225959,0.6993450494420851
transformer.h.0.attn.c_v.weight,0,attn_qkv,attn,589824,768x768,1,0.07592900842428207,0.23923914347376143,0.7590841334474525,0.3481206199841238,0.7054817567316644
transformer.h.0.attn.c_proj.weight,0,attn_out,attn,589824,768x768,1,0.07307524979114532,0.23646711238792964,0.7639248816326143,0.33962405155196684,0.7121504150403237
transformer.h.0.mlp.c_fc.weight,0,mlp_up,mlp,2359296,3072x768,0,0.38446301221847534,1.2142546772956848,0.7595178844018977,0.3621704875371285,0.6986736984323846
transformer.h.0.mlp.c_proj.weight,0,mlp_down,mlp,2359296,768x3072,0,0.08248287439346313,0.2629504416670118,0.7612191107269373,0.35111512354478697,0.7050519935910752
transformer.h.1.attn.c_q.weight,1,attn_qkv,attn,589824,768x768,1,0.07686608284711838,0.2425303714615958,0.7593395862409196,0.3487637470822184,0.7052879195793506
transformer.h.1.attn.c_k.weight,1,attn_qkv,attn,589824,768x768,1,0.0761604979634285,0.2407605924776622,0.7596862428517195,0.34904328585297534,0.7053214784993721
transformer.h.1.attn.c_v.weight,1,attn_qkv,attn,589824,768x768,1,0.07220716774463654,0.2343531080654689,0.7644601292394312,0.33911601313242695,0.7126720580535022
transformer.h.1.attn.c_proj.weight,1,attn_out,attn,589824,768x768,1,0.07182314991950989,0.23885064465659006,0.7688149075543714,0.33524768661490567,0.7167836104697329
transformer.h.1.attn.ve_gate.weight,1,attn_aux,attn,72,6x12,0,0.00023887648421805352,0.0019145379940580045,0.8890708283853981,0.0845415051398436,0.9022646616227772
