family,recipe,alpha_group,alpha_other,bpb,method_minus_raw,paired_eval_se,eval_seconds,optimizer,floor,stream_seed
structured_grid,structured:g0.000:o0.000,0.0,0.0,1.1456671222596881,0.0,0.0,2.2579725668765604,pure_adamw,0.1,6103
structured_grid,structured:g0.000:o0.125,0.0,0.125,1.14557410235125,-9.301990843826706e-05,1.9586032013993045e-05,2.294480151962489,pure_adamw,0.1,6103
structured_grid,structured:g0.000:o0.250,0.0,0.25,1.145519396415225,-0.00014772584446341372,2.9568514286506104e-05,2.1888048318214715,pure_adamw,0.1,6103
structured_grid,structured:g0.000:o0.375,0.0,0.375,1.1454969859277866,-0.00017013633190191696,3.819212047483932e-05,2.313367028022185,pure_adamw,0.1,6103
structured_grid,structured:g0.000:o0.500,0.0,0.5,1.1454766676117862,-0.00019045464790222975,4.917744731348361e-05,2.22438105288893,pure_adamw,0.1,6103
structured_grid,structured:g0.000:o0.625,0.0,0.625,1.1455132737429985,-0.00015384851669000485,5.8824578219902756e-05,2.4217207019682974,pure_adamw,0.1,6103
structured_grid,structured:g0.000:o0.750,0.0,0.75,1.1455797456566834,-8.737660300494124e-05,6.699810960840654e-05,2.1905664999503642,pure_adamw,0.1,6103
structured_grid,structured:g0.000:o0.875,0.0,0.875,1.145668641583004,1.5193233156608754e-06,7.571173057041037e-05,2.311772411921993,pure_adamw,0.1,6103
structured_grid,structured:g0.000:o1.000,0.0,1.0,1.1457875246033244,0.00012040234363603491,8.734233108892409e-05,2.2172412329819053,pure_adamw,0.1,6103
structured_grid,structured:g0.125:o0.000,0.125,0.0,1.1453857232226476,-0.0002813990370405719,2.2597860267051978e-05,2.3005787080619484,pure_adamw,0.1,6103
structured_grid,structured:g0.125:o0.125,0.125,0.125,1.1452752014596372,-0.00039192080005132253,2.744151986490798e-05,2.0840352419763803,pure_adamw,0.1,6103
structured_grid,structured:g0.125:o0.250,0.125,0.25,1.145225253449948,-0.0004418688097404949,3.661708623076392e-05,2.1530562909319997,pure_adamw,0.1,6103
structured_grid,structured:g0.125:o0.375,0.125,0.375,1.1451911168909135,-0.0004760053687750485,4.52078691441231e-05,2.450583767844364,pure_adamw,0.1,6103
structured_grid,structured:g0.125:o0.500,0.125,0.5,1.1451909107509453,-0.0004762115087429443,5.324052757776803e-05,2.269372592912987,pure_adamw,0.1,6103
structured_grid,structured:g0.125:o0.625,0.125,0.625,1.1452400308844437,-0.0004270913752446367,6.120608777164818e-05,2.2914125248789787,pure_adamw,0.1,6103
structured_grid,structured:g0.125:o0.750,0.125,0.75,1.1452875662181308,-0.0003795560415575886,6.931045306539886e-05,2.4102623180951923,pure_adamw,0.1,6103
structured_grid,structured:g0.125:o0.875,0.125,0.875,1.1454096524466606,-0.0002574698130277456,7.896101138495617e-05,2.3174715659115463,pure_adamw,0.1,6103
structured_grid,structured:g0.125:o1.000,0.125,1.0,1.145537909008222,-0.00012921325146619637,9.257526703551595e-05,2.224367734976113,pure_adamw,0.1,6103
structured_grid,structured:g0.250:o0.000,0.25,0.0,1.1451257180470757,-0.0005414042126126485,3.3925888338851126e-05,2.08280625496991,pure_adamw,0.1,6103
structured_grid,structured:g0.250:o0.125,0.25,0.125,1.1450463412993677,-0.0006207809603208277,3.6986579108973925e-05,2.2961388749536127,pure_adamw,0.1,6103
structured_grid,structured:g0.250:o0.250,0.25,0.25,1.1450157523391034,-0.0006513699205850099,4.60504190622956e-05,2.0231047910638154,pure_adamw,0.1,6103
structured_grid,structured:g0.250:o0.375,0.25,0.375,1.1449681005085033,-0.00069902175118528,5.431285054195799e-05,2.1950916729401797,pure_adamw,0.1,6103
