recipe,method,alpha,step,eval_kind,bpb,bpb_se,nll,nll_se,n_eval_batches,eval_seconds,floor,trajectory_id,lr_multiplier,stream_seed,paired_delta_vs_raw,paired_se_vs_raw,paired_z_vs_raw,window,spacing,ema_beta,mean_alpha_by_numel
raw,Raw iterate,0.0,248,curve,1.5319776882814566,0.020177982128465704,4.965465486049652,0.03951249184997978,32,0.9005141658708453,0.175,floor_17p50pct,0.4,,,,,,,,
tsa:0.100,TSA alpha=0.10,0.1,248,curve,1.5330184932559359,0.02018211286647355,4.968986749649048,0.0394068857721876,32,0.7994535139296204,0.175,floor_17p50pct,0.4,,0.0010408049744791703,0.00026987242749209315,3.8566554729258673,8,32,,
tsa:0.200,TSA alpha=0.20,0.2,248,curve,1.5398898718944534,0.020200775675193915,4.991425469517708,0.039226475748114976,32,0.7984134219586849,0.175,floor_17p50pct,0.4,,0.00791218361299683,0.0005637219232804093,14.035614522412523,8,32,,
tsa:0.300,TSA alpha=0.30,0.3,248,curve,1.5516421168876624,0.020229448723470846,5.029700949788094,0.038985740854298,32,0.8567512920126319,0.175,floor_17p50pct,0.4,,0.019664428606205764,0.0008747578457496962,22.479853941010045,8,32,,
tsa:0.400,TSA alpha=0.40,0.4,248,curve,1.5676364050062281,0.020264683385784573,5.081741571426392,0.03868427750063522,32,0.780754114035517,0.175,floor_17p50pct,0.4,,0.03565871672477162,0.0012214324752254705,29.194177695487582,8,32,,
tsa:0.500,TSA alpha=0.50,0.5,248,curve,1.586891088410873,0.02030788196109163,5.144359648227692,0.03829725090392869,32,0.8374358480796218,0.175,floor_17p50pct,0.4,,0.05491340012941615,0.001614756889412009,34.00722454846568,8,32,,
tsa:0.550,TSA alpha=0.55,0.55,248,curve,1.597183209439042,0.020331799098624665,5.177824333310127,0.03810398315918123,32,0.7975291630718857,0.175,floor_17p50pct,0.4,,0.0652055211575853,0.0018206094383769193,35.81521647812409,8,32,,
tsa:0.600,TSA alpha=0.60,0.6,248,curve,1.6082782962062643,0.020360387980531622,5.213901996612549,0.037897750108459735,32,0.7827871330082417,0.175,floor_17p50pct,0.4,,0.07630060792480757,0.0020357228672524953,37.48084238390776,8,32,,
tsa:0.650,TSA alpha=0.65,0.65,248,curve,1.619470704598031,0.0203948690951305,5.250281274318695,0.03768383516867533,32,0.7990701349917799,0.175,floor_17p50pct,0.4,,0.08749301631657438,0.0022598841339421844,38.715708917319546,8,32,,
tsa:0.700,TSA alpha=0.70,0.7,248,curve,1.6307764040716113,0.020427328630388656,5.287029415369034,0.03745630627899531,32,0.7797850901260972,0.175,floor_17p50pct,0.4,,0.0987987157901549,0.0024873327340860984,39.72074762504814,8,32,,
tsa:0.750,TSA alpha=0.75,0.75,248,curve,1.6426131008018947,0.020463269041418465,5.325507551431656,0.037224711893272866,32,0.7847490189597011,0.175,floor_17p50pct,0.4,,0.11063541252043803,0.0027296987522031813,40.53026453235637,8,32,,
tsa:0.800,TSA alpha=0.80,0.8,248,curve,1.6544105119266683,0.02050336689125186,5.363857761025429,0.03699793338536856,32,0.8001700020395219,0.175,floor_17p50pct,0.4,,0.1224328236452118,0.0029687468038500204,41.240574469481444,8,32,,
tsa:0.900,TSA alpha=0.90,0.9,248,curve,1.6784639191714814,0.020601290948011112,5.44204281270504,0.036530755322233426,32,0.8124679869506508,0.175,floor_17p50pct,0.4,,0.1464862308900251,0.0034940309897086154,41.9247085447978,8,32,,
tsa:1.000,Uniform LAWA,1.0,248,curve,1.70240389470829,0.020714015872448352,5.519860044121742,0.036099455959442216,32,0.799348205095157,0.175,floor_17p50pct,0.4,,0.17042620642683337,0.004033766866388488,42.24989000899285,8,32,,
raw,Raw iterate,0.0,504,curve,1.317351573669983,0.017515888912388745,4.272510550916195,0.04331185509536207,32,0.7854982172138989,0.175,floor_17p50pct,0.4,,,,,,,,
tsa:0.100,TSA alpha=0.10,0.1,504,curve,1.3110974070787171,0.017504041129266838,4.2521654814481735,0.04332309772309513,32,0.7980780859943479,0.175,floor_17p50pct,0.4,,-0.006254166591265639,0.00015467531457747229,-40.43416112228505,8,32,,
tsa:0.200,TSA alpha=0.20,0.2,504,curve,1.3064059080112704,0.01749301352385175,4.2368748635053635,0.043297135222957694,32,0.7950503460597247,0.175,floor_17p50pct,0.4,,-0.010945665658712557,0.00033296103815390023,-32.87371315094616,8,32,,
tsa:0.300,TSA alpha=0.30,0.3,504,curve,1.3039876482422104,0.017478924172236312,4.228976920247078,0.04318171102501295,32,0.794291331898421,0.175,floor_17p50pct,0.4,,-0.013363925427772545,0.0005072687718638495,-26.344861282648427,8,32,,
tsa:0.400,TSA alpha=0.40,0.4,504,curve,1.3033501032097325,0.017488962233042946,4.226830556988716,0.0430865740826212,32,0.7934752311557531,0.175,floor_17p50pct,0.4,,-0.01400147046025043,0.000695995280291492,-20.11719167748728,8,32,,
tsa:0.500,TSA alpha=0.50,0.5,504,curve,1.3044714807196107,0.017489169538255737,4.230400882661343,0.042920747187536676,32,0.7933360049501061,0.175,floor_17p50pct,0.4,,-0.012880092950372228,0.0008983195732917036,-14.337985426696015,8,32,,
tsa:0.550,TSA alpha=0.55,0.55,504,curve,1.3056704005641495,0.017492451767292767,4.234250940382481,0.04281118590828411,32,0.7864953998941928,0.175,floor_17p50pct,0.4,,-0.011681173105833186,0.001021749756126394,-11.432518614066772,8,32,,
tsa:0.600,TSA alpha=0.60,0.6,504,curve,1.3072762552810477,0.017503728558852762,4.239415712654591,0.042722950795104964,32,0.7830703309737146,0.175,floor_17p50pct,0.4,,-0.010075318388935231,0.0011583620099032395,-8.697901262988454,8,32,,
tsa:0.650,TSA alpha=0.65,0.65,504,curve,1.3091382819156576,0.01750603694520532,4.2454133331775665,0.042597853929742684,32,0.7847422428894788,0.175,floor_17p50pct,0.4,,-0.008213291754325239,0.0012701407663080221,-6.466442123733419,8,32,,
tsa:0.700,TSA alpha=0.70,0.7,504,curve,1.3116003405423342,0.01752166478056209,4.2533558532595634,0.04249225083320063,32,0.7957507390528917,0.175,floor_17p50pct,0.4,,-0.0057512331276487125,0.0013976002935649305,-4.115077217806493,8,32,,
tsa:0.750,TSA alpha=0.75,0.75,504,curve,1.3141967098896852,0.017529787091072873,4.261732630431652,0.0423578355626174,32,0.8006747029721737,0.175,floor_17p50pct,0.4,,-0.0031548637802975704,0.001527042668832209,-2.0659958262398925,8,32,,
tsa:0.800,TSA alpha=0.80,0.8,504,curve,1.317249521797364,0.017541420070588933,4.2715902999043465,0.04222123429612659,32,0.7733952288981527,0.175,floor_17p50pct,0.4,,-0.00010205187261880244,0.0016675243276153134,-0.06119963045141559,8,32,,
tsa:0.900,TSA alpha=0.90,0.9,504,curve,1.3240773221743298,0.017571505673938646,4.293638452887535,0.04194392597716129,32,0.9160331599414349,0.175,floor_17p50pct,0.4,,0.006725748504346811,0.001953912631617926,3.442195109193595,8,32,,
