step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.044193863868713,0.4,168.45604401585297
500,4.315232366323471,0.4,317.3603991867276
750,4.046268805861473,0.4,466.3425586219819
1000,3.9594321697950363,0.4,617.3196302581637
1250,3.8845423460006714,0.3612205128205129,767.850375991984
1500,3.941968023777008,0.3125025641025641,917.2681020660966
1750,3.71221587061882,0.2637846153846154,1066.6602527633077
2000,3.4379346817731857,0.21506666666666666,1216.1617082664452
2250,3.677982673048973,0.16634871794871797,1365.5823564164748
2500,3.45736500620842,0.11763076923076923,1513.8255897832278
2750,3.4852401465177536,0.06891282051282052,1663.9340505489672
3000,3.3626274466514587,0.020194871794871797,1815.1401892082067
