floor,method,n_runs,mean_bpb,se_across_runs
0.05,Raw,5,1.0560788911597834,0.00011580612923280512
0.05,TSA,5,1.0553684648751551,0.00015521648794673335
0.05,LAWA,5,1.0568091534948563,0.00017854773603457916
0.1,Raw,5,1.0569823362185304,0.00018533798709502875
0.1,TSA,5,1.0548248940925238,0.0001783643005640384
0.1,LAWA,5,1.0562114540093688,0.0001555337655755689
