step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.88307723402977,162.50251075113192,0.4,0.4,0.4,0.4
500,4.20879228413105,310.7110059373081,0.4,0.4,0.4,0.4
750,3.974925011396408,456.9515093527734,0.4,0.4,0.4,0.4
1000,4.025170192122459,603.412211753428,0.4,0.4,0.4,0.4
1250,3.888064831495285,749.4207555581816,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.8745595663785934,898.7791515532881,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.7798378467559814,1048.9978128601797,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.6769635528326035,1196.253442007117,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.6045943945646286,1345.0938769788481,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.4742368012666702,1493.928081263788,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.5809366106987,1645.1954781715758,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.433974176645279,1793.5868755630217,0.03430265942558662,0.03430265942558662,0.03430265942558662,0.03430265942558662
