step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.561457276344299,0.4,154.49719586985884
500,4.822145998477936,0.4,307.8664742970723
750,4.378506705164909,0.4,461.52378257509554
1000,4.169755756855011,0.4,615.4441636053671
1250,4.063517466187477,0.3612205128205129,769.7798688204784
1500,3.8895247727632523,0.3125025641025641,923.8595576161752
1750,3.862045854330063,0.2637846153846154,1077.2443539140804
2000,3.7852898985147476,0.21506666666666666,1231.1431391218212
2250,3.802804484963417,0.16634871794871797,1384.6814249631134
2500,3.7390833348035812,0.11763076923076923,1538.4752985150844
2750,3.639676347374916,0.06891282051282052,1692.8060118782741
3000,3.678541824221611,0.04000000000000001,1848.7347457912692
