stream_seed,recipe,bpb,gain_vs_raw
1103,raw,1.0575896009207422,0.0
1103,tsa:k4:s16:a0.550,1.0564362271938825,0.0011533737268596411
1103,lawa:k4:s16:a1.000,1.05665120753335,0.0009383933873921002
1103,tsa:k4:s32:a0.550,1.0559040210614328,0.001685579859309394
1103,lawa:k4:s32:a1.000,1.0564124342755778,0.0011771666451643181
1103,tsa:k4:s64:a0.550,1.0557457231390768,0.0018438777816653928
1103,lawa:k4:s64:a1.000,1.0568893465984666,0.0007002543222756064
1103,tsa:k8:s16:a0.550,1.0558131630161982,0.0017764379045439593
1103,lawa:k8:s16:a1.000,1.0565855892460958,0.0010040116746463656
1103,tsa:k8:s32:a0.550,1.0555965960121754,0.001993004908566798
1103,lawa:k8:s32:a1.000,1.0570576698723764,0.0005319310483657969
1103,tsa:k8:s64:a0.550,1.055291287958803,0.002298312961939164
1103,lawa:k8:s64:a1.000,1.0580963152558036,-0.0005067143350614423
1103,tsa:k16:s16:a0.550,1.0555545915788425,0.0020350093418997073
1103,lawa:k16:s16:a1.000,1.0572428071923945,0.00034679372834767186
1103,tsa:k16:s32:a0.550,1.0551549046298638,0.0024346962908783354
1103,lawa:k16:s32:a1.000,1.0582301564921426,-0.0006405555714004141
1103,tsa:k16:s64:a0.550,1.0560231984740769,0.0015664024466652826
1103,lawa:k16:s64:a1.000,1.0624499257256785,-0.004860324804936367
1103,ewa:beta0.50:k8:s32,1.0558472354749755,0.0017423654457666693
1103,ewa:beta0.75:k8:s32,1.0558356228763166,0.0017539780444255637
1103,ewa:beta0.90:k8:s32,1.0564376044219728,0.0011519964987694031
1103,ewa:beta0.95:k8:s32,1.0567307413044522,0.0008588596162899531
1103,ema:0.95:16:16,1.05664900885167,0.0009405920690721548
1103,swastyle:32:16,1.0583457314583864,-0.0007561305376442284
1103,adaptive:hybrid:8:32:1.0:all,1.055644983837276,0.0019446170834662713
1103,adaptive:hybrid:8:32:1.0:muon,1.0556871973827213,0.001902403538020847
2203,raw,1.0570177510619052,0.0
2203,tsa:k4:s16:a0.550,1.0557841495943963,0.001233601467508949
2203,lawa:k4:s16:a1.000,1.0558718964249698,0.001145854636935395
2203,tsa:k4:s32:a0.550,1.055272106239635,0.0017456448222701315
2203,lawa:k4:s32:a1.000,1.0556158721858198,0.0014018788760854495
2203,tsa:k4:s64:a0.550,1.0552501705227497,0.0017675805391554889
2203,lawa:k4:s64:a1.000,1.0563317627079807,0.0006859883539245271
2203,tsa:k8:s16:a0.550,1.0552170414814355,0.0018007095804697393
2203,lawa:k8:s16:a1.000,1.0558116968775932,0.0012060541843119665
2203,tsa:k8:s32:a0.550,1.0551391099819032,0.0018786410800020192
