optimizer,active_floor,quantity,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
native,0.1,interaction,5,0.0014022605847316516,9.168576275212456e-05,0.001310574821979527,0.001493946347483776,5
native,0.15,interaction,5,0.004600868514808986,9.050847405395773e-05,0.004510360040755028,0.004691376988862944,5
pure_adamw,0.1,interaction,5,0.000781656385185192,8.930986047119042e-05,0.0006923465247140017,0.0008709662456563824,5
pure_adamw,0.15,interaction,5,0.002536433267828375,0.00020362217344193593,0.0023328110943864394,0.002740055441270311,5
