step,train_loss,raw_bpb,lr_multiplier
248,4.972228676080704,1.5454031669777262,0.4
504,4.346577376127243,1.3235090702531411,0.4
760,4.061958879232407,1.2547692627663238,0.4
1016,3.983411893248558,1.2200921980998143,0.4
1272,3.8745702505111694,1.1919699230246876,0.3569333333333334
1528,3.842990428209305,1.1682396926532355,0.3070461538461539
1784,3.6138491928577423,1.1459636592740168,0.2571589743589744
2040,3.560199096798897,1.1278463804541963,0.20727179487179487
2296,3.634552523493767,1.1094011066948348,0.1573846153846154
2488,3.5134170800447464,1.094012553883476,0.11996923076923079
2600,3.6315131783485413,1.08691961182942,0.09814358974358975
2696,3.542604088783264,1.0810106833239144,0.07943589743589745
2760,3.5599853843450546,1.0762776049276417,0.06696410256410257
2808,3.3801755011081696,1.0728346665919477,0.06
2856,3.426639974117279,1.0706536633334178,0.06
2904,3.476064220070839,1.0691402237908232,0.06
2936,3.3932020515203476,1.0679164270097936,0.06
2968,3.4981649667024612,1.0665824702500661,0.06
3000,3.4139602929353714,1.0650034223882416,0.06
