stream_seed,arm,routing_mode,matched_uniform_floor,bpb_raw,bpb_scalar055,bpb_structured,gain_structured_vs_raw,gain_scalar055_vs_raw
329303,uniform05,uniform,0.08575664856396654,1.0555572469209704,1.0549816395209988,1.0548945455979768,0.0006627013229936196,0.0005756073999716449
329303,uniform10,uniform,0.08575664856396654,1.056610457576521,1.0545654882683475,1.0544604966954518,0.002149960881069113,0.002044969308173439
329303,matched_uniform,uniform,0.08575664856396654,1.0562123060472162,1.0548621791326396,1.054783646879337,0.0014286591678791538,0.0013501269145765882
329303,mapped,direct_param_group,0.08575664856396654,1.059113422232462,1.0545632618759508,1.0543082913085398,0.004805130923922318,0.004550160356511235
340403,uniform05,uniform,0.08575664856396654,1.056304672133855,1.0555057759680846,1.055403413331761,0.0009012588020940182,0.0007988961657703353
340403,uniform10,uniform,0.08575664856396654,1.05812316251726,1.0558883667989793,1.0557076698779893,0.0024154926392707665,0.002234795718280669
340403,matched_uniform,uniform,0.08575664856396654,1.0573778237074813,1.0557925695437471,1.05566555960158,0.0017122641059013066,0.0015852541637342288
340403,mapped,direct_param_group,0.08575664856396654,1.060997285584584,1.0561408358511173,1.0557285662097173,0.005268719374866615,0.004856449733466661
351503,uniform05,uniform,0.08575664856396654,1.0563122611009421,1.0556582794426583,1.05562876946133,0.0006834916396121216,0.0006539816582837865
351503,uniform10,uniform,0.08575664856396654,1.057017272775205,1.0549010153689988,1.0547262326883307,0.0022910400868743075,0.0021162574062061346
351503,matched_uniform,uniform,0.08575664856396654,1.0567456566707458,1.0553017131061435,1.0552000752771553,0.0015455813935905116,0.0014439435646023124
351503,mapped,direct_param_group,0.08575664856396654,1.0596326454702418,1.0550025733761352,1.0547287463725736,0.004903899097668196,0.0046300720941065965
362603,uniform05,uniform,0.08575664856396654,1.0559602762638387,1.055220267181181,1.0551161425358302,0.0008441337280085115,0.0007400090826576999
362603,uniform10,uniform,0.08575664856396654,1.0566545814189263,1.0544101172530662,1.0542115432561472,0.002443038162779132,0.002244464165860105
362603,matched_uniform,uniform,0.08575664856396654,1.0570076446982222,1.0554773544451657,1.055360103846136,0.0016475408520861823,0.00153029025305651
362603,mapped,direct_param_group,0.08575664856396654,1.060180619840701,1.0554037662402798,1.055036167772294,0.00514445206840719,0.004776853600421349
373703,uniform05,uniform,0.08575664856396654,1.0564758444748106,1.055813384283852,1.0557116513113856,0.0007641931634250199,0.0006624601909586136
373703,uniform10,uniform,0.08575664856396654,1.0568127428557712,1.0547942531940622,1.0546708934225955,0.0021418494331757465,0.002018489661709033
373703,matched_uniform,uniform,0.08575664856396654,1.0570958132638208,1.0556403742633664,1.0555421107389358,0.00155370252488507,0.001455439000454417
373703,mapped,direct_param_group,0.08575664856396654,1.060107264020057,1.0554079013825295,1.0550881330998936,0.005019130920163484,0.004699362637527571
384803,uniform05,uniform,0.08575664856396654,1.0549042989843356,1.0541061558316844,1.0540264715956011,0.0008778273887344312,0.0007981431526511429
384803,uniform10,uniform,0.08575664856396654,1.0565289601796335,1.0543732821980212,1.0542354415515105,0.0022935186281229925,0.002155677981612314
384803,matched_uniform,uniform,0.08575664856396654,1.0558277314036977,1.0543543742169852,1.054270023190105,0.00155770821359269,0.0014733571867124873
384803,mapped,direct_param_group,0.08575664856396654,1.059562859486659,1.0546693629765445,1.0544402055001791,0.00512265398647993,0.004893496510114614
395903,uniform05,uniform,0.08575664856396654,1.054983287056923,1.0542528463686234,1.0541382995361126,0.000844987520810303,0.0007304406882995274
395903,uniform10,uniform,0.08575664856396654,1.0567149727279963,1.0546670970444727,1.0545555100778319,0.002159462650164423,0.0020478756835236034
395903,matched_uniform,uniform,0.08575664856396654,1.0557229904284282,1.0543957567478948,1.054253814805336,0.0014691756230922337,0.0013272336805334461
395903,mapped,direct_param_group,0.08575664856396654,1.059708581195097,1.0548222715459032,1.0545311294316053,0.005177451763491714,0.004886309649193787
407003,uniform05,uniform,0.08575664856396654,1.0552650914702726,1.0543936818059325,1.054359465881397,0.0009056255888755249,0.0008714096643400726
407003,uniform10,uniform,0.08575664856396654,1.0565293576059869,1.0542691899783467,1.0541468446397477,0.0023825129662391475,0.0022601676276401417
407003,matched_uniform,uniform,0.08575664856396654,1.0555219588469478,1.0538739261584806,1.0536586203797202,0.0018633384672275266,0.0016480326884671381
407003,mapped,direct_param_group,0.08575664856396654,1.0594425257286817,1.0544008774217362,1.0539741792430064,0.005468346485675291,0.005041648306945534
