step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.475082218647003,0.4,155.84193395078182
500,4.789458811283112,0.4,309.72773994505405
750,4.40561631321907,0.4,463.5590595852118
1000,4.211678981781006,0.4,616.9486035362352
1250,4.038311928510666,0.3612205128205129,773.4208759844769
1500,3.8530481159687042,0.3125025641025641,928.7167450701818
1750,3.91801580786705,0.2637846153846154,1082.3079214366153
2000,3.8994812816381454,0.21506666666666666,1236.5400068517774
2250,3.704997628927231,0.16634871794871797,1393.5709065136034
2500,3.5546441823244095,0.11763076923076923,1550.6412011329085
2750,3.691787153482437,0.06891282051282052,1704.8300652105827
3000,3.5436985939741135,0.06,1860.509505765047
