step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.5539438128471375,0.4,154.96479646291118
500,4.741634249687195,0.4,307.8211890492239
750,4.380281463265419,0.4,461.4650761037483
1000,4.193078920245171,0.4,614.6455782229896
1250,3.8743859231472015,0.3612205128205129,767.9915057821199
1500,3.880625694990158,0.3125025641025641,921.3156691768672
1750,3.920557141304016,0.2637846153846154,1074.847309990204
2000,3.692207783460617,0.21506666666666666,1228.6433370783925
2250,3.7305110096931458,0.16634871794871797,1382.464684694074
2500,3.706662356853485,0.11763076923076923,1537.1166017369833
2750,3.578425705432892,0.06891282051282052,1694.1582533171168
3000,3.6049423068761826,0.04000000000000001,1851.1084805161227
