name,layer,role,module,numel,shape,squareish,drift_energy,residual_energy,noise_fraction,mean_update_cosine,trajectory_score
transformer.h.0.attn.c_q.weight,0,attn_qkv,attn,589824,768x768,1,0.04538164287805557,0.20937018735068186,0.8218594039646029,0.16304998768764764,0.8294047081384777
transformer.h.0.attn.c_k.weight,0,attn_qkv,attn,589824,768x768,1,0.04707256704568863,0.20801738330296107,0.8154667912971438,0.1684865336973562,0.8234901287998938
transformer.h.0.attn.c_v.weight,0,attn_qkv,attn,589824,768x768,1,0.03143437206745148,0.16859938842909677,0.8428546661852417,0.09168889877040691,0.8755828837074174
transformer.h.0.attn.c_proj.weight,0,attn_out,attn,589824,768x768,1,0.03499208018183708,0.18642408507210867,0.8419623962789523,0.09966682707926233,0.871147784599845
transformer.h.0.mlp.c_fc.weight,0,mlp_up,mlp,2359296,3072x768,0,0.17821897566318512,0.7910229648862567,0.8161253984096513,0.18000353437106223,0.8180609320192945
transformer.h.0.mlp.c_proj.weight,0,mlp_down,mlp,2359296,768x3072,0,0.17086757719516754,0.7688365748950413,0.8181687536283603,0.17464472676526,0.8217620134315502
transformer.h.1.attn.c_q.weight,1,attn_qkv,attn,589824,768x768,1,0.04225676879286766,0.2037776325430189,0.8282485353128376,0.15186984776523818,0.8381893437737997
transformer.h.1.attn.c_k.weight,1,attn_qkv,attn,589824,768x768,1,0.0427689366042614,0.20378154516220093,0.8265307116910321,0.16044600018315,0.833042355753941
transformer.h.1.attn.c_v.weight,1,attn_qkv,attn,589824,768x768,1,0.029773777350783348,0.16710918503148214,0.8487742311954096,0.0862053490658935,0.881284441064758
transformer.h.1.attn.c_proj.weight,1,attn_out,attn,589824,768x768,1,0.03503646329045296,0.1936499433858054,0.84679254093116,0.10739291809444818,0.8696998114183558
transformer.h.1.attn.ve_gate.weight,1,attn_aux,attn,72,6x12,0,4.048300525028026e-06,2.1627097859371653e-05,0.8423276451481366,0.16099299345820636,0.8406673258449651
transformer.h.1.mlp.c_fc.weight,1,mlp_up,mlp,2359296,3072x768,0,0.09732833504676819,0.5086646505764553,0.8393903273539174,0.12597899227498613,0.8567056675394656
transformer.h.1.mlp.c_proj.weight,1,mlp_down,mlp,2359296,768x3072,0,0.10344316810369492,0.5039749230657306,0.8297002186672741,0.1461985523939917,0.8417508331366412
transformer.h.2.attn.c_q.weight,2,attn_qkv,attn,589824,768x768,1,0.04094921052455902,0.200052125113351,0.8300872050514992,0.14959550664563473,0.8402458492029323
transformer.h.2.attn.c_k.weight,2,attn_qkv,attn,589824,768x768,1,0.04040760174393654,0.19880416563579015,0.8310802090275384,0.1425022402365609,0.8442889843954888
transformer.h.2.attn.c_v.weight,2,attn_qkv,attn,589824,768x768,1,0.028333567082881927,0.16065642131226404,0.8500790051182963,0.08428812145088958,0.8828954418337034
transformer.h.2.attn.c_proj.weight,2,attn_out,attn,589824,768x768,1,0.031402863562107086,0.19198838302067348,0.8594266156688,0.06499661569657658,0.8972149999861116
transformer.h.2.mlp.c_fc.weight,2,mlp_up,mlp,2359296,3072x768,0,0.11898018419742584,0.6047624562467847,0.8356042914309988,0.13110906911655898,0.8522476111572199
transformer.h.2.mlp.c_proj.weight,2,mlp_down,mlp,2359296,768x3072,0,0.11600060015916824,0.5846584737300873,0.8344407366120787,0.13277571779640393,0.8508325094078374
transformer.h.3.attn.c_q.weight,3,attn_qkv,attn,589824,768x768,1,0.041471488773822784,0.2008927528347288,0.8288877579523286,0.13777933401558956,0.8455542119683696
transformer.h.3.attn.c_k.weight,3,attn_qkv,attn,589824,768x768,1,0.04121012985706329,0.19900922902992793,0.8284479233980048,0.14711496694477388,0.8406664782266154
transformer.h.3.attn.c_v.weight,3,attn_qkv,attn,589824,768x768,1,0.024353541433811188,0.145442291029862,0.8565716185111818,0.07247404553063118,0.8920487864902753
transformer.h.3.attn.c_proj.weight,3,attn_out,attn,589824,768x768,1,0.03326251730322838,0.1934858454125268,0.8533064719637017,0.08367216768231249,0.8848171521406947
transformer.h.3.attn.ve_gate.weight,3,attn_aux,attn,72,6x12,0,5.36704146725242e-06,1.8530633496993687e-05,0.7754157475452244,0.022331346974865194,0.8765422002851796
transformer.h.3.mlp.c_fc.weight,3,mlp_up,mlp,2359296,3072x768,0,0.12821726500988007,0.6621938858713422,0.8377840888670007,0.12925805015793085,0.854263019354535
transformer.h.3.mlp.c_proj.weight,3,mlp_down,mlp,2359296,768x3072,0,0.12835350632667542,0.6431729325226375,0.8336369308119793,0.1315001312944433,0.851068399758768
transformer.h.4.attn.c_q.weight,4,attn_qkv,attn,589824,768x768,1,0.041008200496435165,0.2001845645053046,0.8299774850371678,0.13742480640423718,0.8462763393164654
transformer.h.4.attn.c_k.weight,4,attn_qkv,attn,589824,768x768,1,0.041410163044929504,0.19715762989861624,0.8264218210933078,0.14096026441962797,0.8427307783368398
transformer.h.4.attn.c_v.weight,4,attn_qkv,attn,589824,768x768,1,0.02663632482290268,0.15796317266566412,0.8557074900783389,0.06184599590125625,0.8969307470885413
transformer.h.4.attn.c_proj.weight,4,attn_out,attn,589824,768x768,1,0.03088783659040928,0.18733993811266764,0.8584605619865042,0.06789201634820351,0.8952842728191504
transformer.h.4.mlp.c_fc.weight,4,mlp_up,mlp,2359296,3072x768,0,0.13419939577579498,0.6804793306759426,0.8352732292884475,0.13369075968384672,0.8507912348023003
transformer.h.4.mlp.c_proj.weight,4,mlp_down,mlp,2359296,768x3072,0,0.13331131637096405,0.6590606229645866,0.8317566413536133,0.13703775361836276,0.8473594438676253
transformer.h.5.attn.c_q.weight,5,attn_qkv,attn,589824,768x768,1,0.04268522560596466,0.20485324944768632,0.8275612484212277,0.146159701493384,0.8407007734639218
transformer.h.5.attn.c_k.weight,5,attn_qkv,attn,589824,768x768,1,0.04225956276059151,0.20535569531576975,0.8293337692964009,0.14610419446108888,0.841614787417656
transformer.h.5.attn.c_v.weight,5,attn_qkv,attn,589824,768x768,1,0.02643611654639244,0.15813643591744558,0.8567711385387495,0.07030689447022069,0.8932321220342645
transformer.h.5.attn.c_proj.weight,5,attn_out,attn,589824,768x768,1,0.032956432551145554,0.19276815227099828,0.8539971506554633,0.08737206604580544,0.8833125423048289
transformer.h.5.attn.ve_gate.weight,5,attn_aux,attn,72,6x12,0,5.3345734158938285e-06,2.095693460952524e-05,0.7970989944458008,-0.030090637853345616,0.8985494972229005
transformer.h.5.mlp.c_fc.weight,5,mlp_up,mlp,2359296,3072x768,0,0.15126261115074158,0.7631166321890694,0.834573441761158,0.13574205450489105,0.8494156936281334
transformer.h.5.mlp.c_proj.weight,5,mlp_down,mlp,2359296,768x3072,0,0.14971238374710083,0.7366704770496914,0.8310973842471181,0.13888461370002883,0.8461063852735446
