optimizer,active_floor,stream_seed,quantity,value
pure_adamw,0.15,13303,interaction_scalar_minus_structured,-4.2901595902922196e-05
pure_adamw,0.15,14403,schedule_effect_raw,0.00025113220363714994
pure_adamw,0.15,14403,schedule_effect_scalar_dev_selected,-0.002201743088592778
pure_adamw,0.15,14403,schedule_effect_structured_dev_selected,-0.002145056452508065
pure_adamw,0.15,14403,interaction_raw_minus_structured,0.002396188656145215
pure_adamw,0.15,14403,interaction_scalar_minus_structured,-5.6686636084712916e-05
pure_adamw,0.15,15503,schedule_effect_raw,0.003460799800532266
pure_adamw,0.15,15503,schedule_effect_scalar_dev_selected,0.0012677763140924725
pure_adamw,0.15,15503,schedule_effect_structured_dev_selected,0.0013306495532054985
pure_adamw,0.15,15503,interaction_raw_minus_structured,0.0021301502473267675
pure_adamw,0.15,15503,interaction_scalar_minus_structured,-6.2873239113026e-05
