optimizer,floor,eval_kind,alpha_group,alpha_other,n,mean_gain_vs_raw,gain_ci95_half,positive_seed_count
native,0.05,structured_grid_diagnostic,0.5,0.5,5,0.0007585092313292296,9.46105240166981e-05,5
native,0.05,structured_grid_diagnostic,0.5,0.625,5,0.0006854705855708243,0.00010589041120582269,5
native,0.05,structured_grid_diagnostic,0.5,0.75,5,0.0005860490852060973,0.00011205498870522489,5
native,0.05,structured_grid_diagnostic,0.5,0.875,5,0.0004547178168619492,0.00010778222193121525,5
native,0.05,structured_grid_diagnostic,0.5,1.0,5,0.0002863604410781928,9.411594491716348e-05,5
native,0.05,structured_grid_diagnostic,0.625,0.0,5,0.0006729406394259119,0.00014931118749180432,5
native,0.05,structured_grid_diagnostic,0.625,0.125,5,0.0007228651899114258,9.869943765206103e-05,5
native,0.05,structured_grid_diagnostic,0.625,0.25,5,0.0007296905703258361,0.0001084755899996695,5
native,0.05,structured_grid_diagnostic,0.625,0.375,5,0.0007150084944065771,0.00010053747835427965,5
native,0.05,structured_grid_diagnostic,0.625,0.5,5,0.000670350226544425,0.00010160209510985468,5
native,0.05,structured_grid_diagnostic,0.625,0.625,5,0.0006037049144550721,0.00011492153255298518,5
native,0.05,structured_grid_diagnostic,0.625,0.75,5,0.0004958681911399143,0.00011900349321630119,5
native,0.05,structured_grid_diagnostic,0.625,0.875,5,0.0003727645358893028,0.00012628307735467397,5
native,0.05,structured_grid_diagnostic,0.625,1.0,5,0.00019280196684094973,0.0001177821479593045,5
native,0.05,structured_grid_diagnostic,0.75,0.0,5,0.00046672469014117366,0.00016210686321114392,5
native,0.05,structured_grid_diagnostic,0.75,0.125,5,0.0005232782893482835,0.00012356806767747762,5
native,0.05,structured_grid_diagnostic,0.75,0.25,5,0.0005218130522371301,0.00011555546728859101,5
native,0.05,structured_grid_diagnostic,0.75,0.375,5,0.0005062728040932107,0.00011710032885529604,5
native,0.05,structured_grid_diagnostic,0.75,0.5,5,0.0004531041057723062,0.00012512156232700878,5
native,0.05,structured_grid_diagnostic,0.75,0.625,5,0.000396520643948195,0.00013640444666618032,5
native,0.05,structured_grid_diagnostic,0.75,0.75,5,0.0002957266788381041,0.0001451724685626208,5
native,0.05,structured_grid_diagnostic,0.75,0.875,5,0.0001592506229238122,0.00014045834342513223,5
native,0.05,structured_grid_diagnostic,0.75,1.0,5,-3.8136257555443366e-06,0.0001374126482137272,2
native,0.05,structured_grid_diagnostic,0.875,0.0,5,0.00014859993106881576,0.0001861090182863719,4
native,0.05,structured_grid_diagnostic,0.875,0.125,5,0.00020398506940084716,0.00015065991704567834,5
native,0.05,structured_grid_diagnostic,0.875,0.25,5,0.00021287263697433723,0.00013150531557941494,5
native,0.05,structured_grid_diagnostic,0.875,0.375,5,0.00020130935970699148,0.00013693378451741492,5
