optimizer,floor,stream_seed,left_recipe,right_recipe,contrast
pure_adamw,0.05,11103,raw,structured_dev_selected,0.000309351446430739
pure_adamw,0.05,12203,raw,structured_dev_selected,0.0002733164312020975
pure_adamw,0.05,13303,raw,structured_dev_selected,0.00024701877353994206
pure_adamw,0.05,14403,raw,structured_dev_selected,0.00022858433681638424
pure_adamw,0.05,15503,raw,structured_dev_selected,0.00015569361578626761
pure_adamw,0.05,11103,scalar_dev_selected,structured_dev_selected,2.1000313008778804e-05
pure_adamw,0.05,12203,scalar_dev_selected,structured_dev_selected,8.398532898512556e-05
pure_adamw,0.05,13303,scalar_dev_selected,structured_dev_selected,7.149615285917399e-05
pure_adamw,0.05,14403,scalar_dev_selected,structured_dev_selected,2.907591865208836e-05
pure_adamw,0.05,15503,scalar_dev_selected,structured_dev_selected,4.967630268537526e-05
pure_adamw,0.05,11103,raw,group_only_dev_selected,0.0002908922403150882
pure_adamw,0.05,12203,raw,group_only_dev_selected,0.00031551226066151017
pure_adamw,0.05,13303,raw,group_only_dev_selected,0.0002485823645723695
pure_adamw,0.05,14403,raw,group_only_dev_selected,0.00024125659957330292
pure_adamw,0.05,15503,raw,group_only_dev_selected,0.00017862411440150439
pure_adamw,0.05,11103,raw,other_only_dev_selected,5.219227826680495e-05
pure_adamw,0.05,12203,raw,other_only_dev_selected,1.4595043828613541e-05
pure_adamw,0.05,13303,raw,other_only_dev_selected,1.8894692227044985e-05
pure_adamw,0.05,14403,raw,other_only_dev_selected,4.016543832507935e-05
pure_adamw,0.05,15503,raw,other_only_dev_selected,-4.954233568277289e-06
pure_adamw,0.05,11103,structured_dev_selected,lawa,0.0009779577687849539
pure_adamw,0.05,12203,structured_dev_selected,lawa,0.00109666341085779
pure_adamw,0.05,13303,structured_dev_selected,lawa,0.0010855575065065182
pure_adamw,0.05,14403,structured_dev_selected,lawa,0.0010753256097695285
pure_adamw,0.05,15503,structured_dev_selected,lawa,0.001112660468299831
pure_adamw,0.1,11103,raw,scalar_dev_selected,0.001043566689348241
pure_adamw,0.1,12203,raw,scalar_dev_selected,0.0008440244324408042
pure_adamw,0.1,13303,raw,scalar_dev_selected,0.0009084998407069556
pure_adamw,0.1,14403,raw,scalar_dev_selected,0.0010458907495496383
pure_adamw,0.1,15503,raw,scalar_dev_selected,0.0008851093095572082
pure_adamw,0.1,11103,raw,structured_dev_selected,0.001067652742323899
pure_adamw,0.1,12203,raw,structured_dev_selected,0.0009055301785996228
pure_adamw,0.1,13303,raw,structured_dev_selected,0.0009566561951472874
pure_adamw,0.1,14403,raw,structured_dev_selected,0.0010953990065236674
pure_adamw,0.1,15503,raw,structured_dev_selected,0.0009336469870937503
