step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.957768946886063,160.55660026613623,0.4,0.4,0.4,0.4
500,4.2528031170368195,309.4204119578935,0.4,0.4,0.4,0.4
750,4.015422523021698,457.04447642620653,0.4,0.4,0.4,0.4
1000,3.875082239508629,604.6965812444687,0.4,0.4,0.4,0.4
1250,3.870309218764305,752.3721310258843,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.7662882804870605,900.3099286537617,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.674501121044159,1048.1801307350397,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.7273487001657486,1196.0012523131445,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.591238960623741,1344.124713738449,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.5570296943187714,1492.3065197058022,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.531362771987915,1640.6716020232998,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.3562064468860626,1788.3037209394388,0.03430265942558662,0.03430265942558662,0.03430265942558662,0.03430265942558662
