step,train_loss,raw_bpb,lr_multiplier
248,4.960998624563217,1.5348612399987875,0.4
504,4.235116004943848,1.3164192715162526,0.4
760,4.168778613209724,1.251102898501976,0.4
1016,3.9302028864622116,1.2171155652622279,0.4
1272,3.896280512213707,1.1914927656566325,0.3569333333333334
1528,3.782100722193718,1.169331627699013,0.3070461538461539
1784,3.6844934970140457,1.1479970399957775,0.2571589743589744
2040,3.6400340497493744,1.1288020818640243,0.20727179487179487
2296,3.6062082946300507,1.1084514011436193,0.1573846153846154
2488,3.5677806735038757,1.0949036892970652,0.11996923076923079
2600,3.479302302002907,1.0872571685034647,0.09814358974358975
2696,3.5220810174942017,1.0807514725288296,0.07943589743589745
2760,3.50515615940094,1.075232853647254,0.06696410256410257
2808,3.3888563364744186,1.0723298976348314,0.05761025641025641
2856,3.5145152658224106,1.0693908596550414,0.04825641025641026
2904,3.4986198395490646,1.0671720653529069,0.04000000000000001
2936,3.438626542687416,1.065633518495437,0.04000000000000001
2968,3.440267413854599,1.0640975516240592,0.04000000000000001
3000,3.4041074365377426,1.063365926723797,0.04000000000000001
