step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.92316073179245,167.09378698281944,0.4,0.4,0.4,0.4
500,4.229478985071182,313.2375162532553,0.4,0.4,0.4,0.4
750,3.982884481549263,459.3081144564785,0.4,0.4,0.4,0.4
1000,4.025797560811043,605.2562168682925,0.4,0.4,0.4,0.4
1250,3.891812115907669,751.6051924373023,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.8757775872945786,898.0814922465943,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.7829380184412003,1044.5900815092027,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.682277634739876,1191.2278419462964,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.6010253876447678,1337.8925490132533,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.4752374440431595,1485.0221342192963,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.58496955037117,1631.6921072183177,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.446729987859726,1776.3782479511574,0.020194871794871797,0.06000000000000001,0.047692307692307694,0.03538461538461538
