step,train_loss,raw_bpb,lr_multiplier
248,5.033473342657089,1.5497809545720527,0.4
504,4.309697151184082,1.3268553306897612,0.4
760,4.149589791893959,1.2522224608637444,0.4
1016,4.012932196259499,1.2207779080286298,0.4
1272,3.8660287261009216,1.192927979917144,0.3569333333333334
1528,3.7178740203380585,1.169151957741962,0.3070461538461539
1784,3.7698834985494614,1.1458704739025527,0.2571589743589744
2040,3.688814699649811,1.126293910750542,0.20727179487179487
2296,3.525910034775734,1.107711660985343,0.1573846153846154
2488,3.5696303695440292,1.093906241581395,0.11996923076923079
2600,3.5444094091653824,1.0865892340659913,0.09814358974358975
2696,3.5432359129190445,1.0793487636349481,0.07943589743589745
2760,3.5229418724775314,1.0747223724310626,0.06696410256410257
2808,3.5608578622341156,1.0716746277460516,0.05761025641025641
2856,3.339604526758194,1.0685791034619805,0.04825641025641026
2904,3.53158338367939,1.0656273336503252,0.03890256410256411
2936,3.476050525903702,1.0642103600038828,0.03266666666666667
2968,3.3582708537578583,1.0622659055140713,0.026430769230769237
3000,3.425361767411232,1.0607060184306945,0.020194871794871797
