recipe,method,alpha,step,eval_kind,bpb,bpb_se,nll,nll_se,n_eval_batches,eval_seconds,floor,trajectory_id,lr_multiplier,stream_seed,paired_delta_vs_raw,paired_se_vs_raw,paired_z_vs_raw,window,spacing,ema_beta,mean_alpha_by_numel
raw,Raw iterate,0.0,248,curve,1.5497809545720527,0.02101291504181688,5.02243646979332,0.039150598343287456,32,1.2644211761653423,0.05,floor_05p00pct,0.4,4403,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,248,curve,1.6210100910392313,0.020905089988643186,5.254876360297203,0.03669040186907227,32,1.2410857789218426,0.05,floor_05p00pct,0.4,4403,0.0712291364671786,0.0018328732851519568,38.862008107272544,8,32,,
tsa:1.000,Uniform LAWA,1.0,248,curve,1.7223856008776979,0.021032475375512574,5.584910303354263,0.034153179163014184,32,1.1734622637741268,0.05,floor_05p00pct,0.4,4403,0.17260464630564512,0.0036848819124866107,46.841296520454584,8,32,,
raw,Raw iterate,0.0,504,curve,1.3268553306897612,0.017642905410858233,4.302339471876621,0.04094489489232533,32,1.273300413042307,0.05,floor_05p00pct,0.4,4403,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,504,curve,1.3213947899316802,0.017760244947068814,4.28427167981863,0.040166156469651895,32,1.3052369179204106,0.05,floor_05p00pct,0.4,4403,-0.005460540758081195,0.0013046355578264772,-4.185491285534526,8,32,,
tsa:1.000,Uniform LAWA,1.0,504,curve,1.352759848907069,0.018160411894127662,4.38559690117836,0.03950864532597561,32,1.2565995901823044,0.05,floor_05p00pct,0.4,4403,0.025904518217307528,0.002739404288090879,9.456259643720085,8,32,,
raw,Raw iterate,0.0,760,curve,1.2522224608637444,0.016992965499610973,4.061931453645229,0.04376664161526072,32,1.2451779399998486,0.05,floor_05p00pct,0.4,4403,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,760,curve,1.2224638258443523,0.01700021150843054,3.96513669192791,0.04413586312907429,32,1.2347027459181845,0.05,floor_05p00pct,0.4,4403,-0.029758635019392042,0.0006308288939907456,-47.17386172838907,8,32,,
tsa:1.000,Uniform LAWA,1.0,760,curve,1.22582809859255,0.01706853223231286,3.97575144469738,0.04405133673501451,32,1.1529833730310202,0.05,floor_05p00pct,0.4,4403,-0.026394362271194287,0.0010427528896949478,-25.312192881015008,8,32,,
raw,Raw iterate,0.0,1016,curve,1.2207779080286298,0.01731499798540692,3.959776386618614,0.04612456468537369,32,1.1559868641197681,0.05,floor_05p00pct,0.4,4403,,,,,,,
