step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.974658280611038,174.61757967236917,0.4,0.4,0.4,0.4
500,4.264369994401932,331.6649945882382,0.4,0.4,0.4,0.4
750,4.019425868988037,487.0744381874101,0.4,0.4,0.4,0.4
1000,3.883253887295723,643.8626944842981,0.4,0.4,0.4,0.4
1250,3.875193700194359,802.0667386719724,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.7675261795520782,959.7111579782795,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.6741078048944473,1118.6660747597925,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.7273127287626266,1279.9206585350912,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.5924746096134186,1438.8735747673782,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.5614413917064667,1597.2121545753907,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.5295242071151733,1755.9542799525661,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.373184084892273,1911.0334780181292,0.020194871794871797,0.06000000000000001,0.047692307692307694,0.03538461538461538
