step,train_loss,elapsed_training_seconds,mult_embedding,mult_hidden,mult_unembed,mult_rest
250,4.974601477384567,163.60527653153986,0.4,0.4,0.4,0.4
500,4.278347074985504,315.4919870942831,0.4,0.4,0.4,0.4
750,4.025072529911995,468.61305850790814,0.4,0.4,0.4,0.4
1000,3.9532515853643417,622.7798787513748,0.4,0.4,0.4,0.4
1250,3.8965865075588226,777.0475944667123,0.3612205128205129,0.3612205128205129,0.3612205128205129,0.3612205128205129
1500,3.6512103378772736,931.5793203748763,0.3125025641025641,0.3125025641025641,0.3125025641025641,0.3125025641025641
1750,3.7748854607343674,1085.7892552744597,0.2637846153846154,0.2637846153846154,0.2637846153846154,0.2637846153846154
2000,3.562726452946663,1240.4044336089864,0.21506666666666666,0.21506666666666666,0.21506666666666666,0.21506666666666666
2250,3.6547752171754837,1396.155717481859,0.16634871794871797,0.16634871794871797,0.16634871794871797,0.16634871794871797
2500,3.485364243388176,1549.4738713349216,0.11763076923076923,0.11763076923076923,0.11763076923076923,0.11763076923076923
2750,3.490728586912155,1701.128375462722,0.06891282051282052,0.06891282051282052,0.06891282051282052,0.06891282051282052
3000,3.430563062429428,1852.8197369924746,0.04000000000000001,0.04000000000000001,0.04000000000000001,0.04000000000000001
