optimizer,active_floor,quantity,n,mean,ci95_halfwidth,ci95_low,ci95_high,positive_count
native,0.05,raw,5,0.0,0.0,0.0,0.0,0
native,0.05,tsa_alpha_055,5,0.0,0.0,0.0,0.0,0
native,0.1,raw,5,0.0009151980526659997,0.0008359632838013759,7.923476886462384e-05,0.0017511613364673754,5
native,0.1,tsa_alpha_055,5,-0.00048706253206565187,0.0007908329754083554,-0.0012778955074740073,0.00030377044334270356,1
native,0.15,raw,5,0.0037568787916029134,0.0007687778596228825,0.002988100931980031,0.004525656651225796,5
native,0.15,tsa_alpha_055,5,-0.0008439897232060733,0.0007371182917812446,-0.001581108014987318,-0.00010687143142482872,0
pure_adamw,0.05,raw,5,0.0,0.0,0.0,0.0,0
pure_adamw,0.05,tsa_alpha_055,5,0.0,0.0,0.0,0.0,0
pure_adamw,0.1,raw,5,0.001124535726786302,0.0020141848928070037,-0.0008896491660207017,0.0031387206195933057,3
pure_adamw,0.1,tsa_alpha_055,5,0.00034287934160111,0.0020528447330632263,-0.0017099653914621163,0.0023957240746643365,3
pure_adamw,0.15,raw,5,0.003441367252740646,0.007565320517010911,-0.004123953264270265,0.011006687769751557,4
pure_adamw,0.15,tsa_alpha_055,5,0.0009049339849122706,0.007472338353310614,-0.006567404368398343,0.008377272338222884,3
