step,train_loss,lr_multiplier,elapsed_training_seconds
250,4.966862827539444,0.4,163.40735740889795
500,4.221568718552589,0.4,308.63063740101643
750,4.06967893242836,0.4,454.53578940802254
1000,4.017017528414726,0.4,599.4741080570966
1250,3.8670616894960403,0.3612205128205129,744.3586916110944
1500,3.7304342538118362,0.3125025641025641,888.6881367245223
1750,3.8175992518663406,0.2637846153846154,1033.151052490808
2000,3.8077343553304672,0.21506666666666666,1179.218808408128
2250,3.6040594428777695,0.16634871794871797,1324.8278849925846
2500,3.4500868171453476,0.11763076923076923,1470.3846529826988
2750,3.573990508913994,0.06891282051282052,1615.2580874548294
3000,3.409462034702301,0.06,1760.4853670641314
