step,train_loss,lr_multiplier,elapsed_training_seconds
250,4.976905733346939,0.4,197.5145490329669
500,4.293195128440857,0.4,394.5158506589796
750,4.0672499388456345,0.4,573.032149056955
1000,3.8663847595453262,0.4,723.6712360638921
1250,3.7988322377204895,0.3612205128205129,874.4077982208983
1500,3.8474438339471817,0.3125025641025641,1024.5855612859377
1750,3.6899755001068115,0.2637846153846154,1173.7776711089318
2000,3.7381010204553604,0.21506666666666666,1323.0010423678468
2250,3.542886883020401,0.16634871794871797,1473.1818584518478
2500,3.592817470431328,0.11763076923076923,1621.9814468427576
2750,3.446539983153343,0.06891282051282052,1771.4630968127967
3000,3.4120230972766876,0.04000000000000001,1921.6390908728208
