name,layer,role,module,numel,shape,squareish,drift_energy,residual_energy,noise_fraction,mean_update_cosine,trajectory_score
transformer.h.0.attn.c_q.weight,0,attn_qkv,attn,589824,768x768,1,0.0799059271812439,0.24587854317256383,0.7547276360519436,0.35555778869339116,0.6995849236792762
transformer.h.0.attn.c_k.weight,0,attn_qkv,attn,589824,768x768,1,0.0799616128206253,0.24471289345196315,0.7537176117132783,0.35898979719389823,0.69736390725969
transformer.h.0.attn.c_v.weight,0,attn_qkv,attn,589824,768x768,1,0.07617086172103882,0.23936752336365835,0.7586003309847931,0.3480795619661003,0.7052603845093464
transformer.h.0.attn.c_proj.weight,0,attn_out,attn,589824,768x768,1,0.07334376126527786,0.23630349338054657,0.7631376988981585,0.3399763261444641,0.7115806863768472
transformer.h.0.mlp.c_fc.weight,0,mlp_up,mlp,2359296,3072x768,0,0.38879236578941345,1.2174934319087438,0.7579556724297996,0.3636761944688646,0.6971397389804674
transformer.h.0.mlp.c_proj.weight,0,mlp_down,mlp,2359296,768x3072,0,0.08355168998241425,0.2641530675547464,0.7597050711234955,0.3524968644547231,0.7036041033343863
transformer.h.1.attn.c_q.weight,1,attn_qkv,attn,589824,768x768,1,0.0777382031083107,0.2439219057559967,0.7583219026357271,0.350791382190889,0.703765260222419
transformer.h.1.attn.c_k.weight,1,attn_qkv,attn,589824,768x768,1,0.07731873542070389,0.24196629439081466,0.757837893413459,0.35067075994783375,0.7035835667328125
transformer.h.1.attn.c_v.weight,1,attn_qkv,attn,589824,768x768,1,0.07326480001211166,0.23556541757924215,0.7627667377126414,0.3395400532043254,0.711613342254158
transformer.h.1.attn.c_proj.weight,1,attn_out,attn,589824,768x768,1,0.07238979637622833,0.23871584236621857,0.767314418765141,0.33586584268667335,0.7157242880392338
transformer.h.1.attn.ve_gate.weight,1,attn_aux,attn,72,6x12,0,0.0002337787882424891,0.0017803905066102743,0.8839329003575251,0.15247809564290726,0.8657274023573089
transformer.h.1.mlp.c_fc.weight,1,mlp_up,mlp,2359296,3072x768,0,0.366428405046463,1.2088251880237035,0.7673844981795631,0.3445857516208026,0.7113993732793802
transformer.h.1.mlp.c_proj.weight,1,mlp_down,mlp,2359296,768x3072,0,0.08126448094844818,0.26855510260377613,0.7676960216942336,0.3375065674116517,0.7150947271412909
transformer.h.2.attn.c_q.weight,2,attn_qkv,attn,589824,768x768,1,0.07529246807098389,0.23952482853616988,0.7608375750556745,0.3439122602960983,0.7084626573797881
transformer.h.2.attn.c_k.weight,2,attn_qkv,attn,589824,768x768,1,0.07520411163568497,0.23816719012601034,0.7600159580251726,0.3447900534492754,0.7076129522879486
