optimizer,floor,n,scalar_gain,scalar_ci95_halfwidth,structured_gain,structured_ci95_halfwidth,difference,difference_ci95_halfwidth
native,0.05,5,0.0007107083186271623,9.791653942082996e-05,0.0007296905703258361,0.00010849298302882749,1.8982251698673736e-05,4.891776972134183e-05
native,0.1,5,0.0021129689033588138,0.000153864962224147,0.0021529694041376056,0.0001200751142343786,4.00005007787918e-05,5.043559373674339e-05
native,0.15,5,0.005311576833436149,0.0001547883410419875,0.005368679473890081,0.00011660931155747281,5.71026404539321e-05,7.026665010483822e-05
pure_adamw,0.05,5,0.00019174611751697767,8.097335542907749e-05,0.00024279292075508608,7.1240986267188e-05,5.10468032381084e-05,3.3378089996645645e-05
pure_adamw,0.1,5,0.0009454182043205694,0.00011616143774293482,0.0009917770219376454,0.00010489256020844083,4.6358817617075944e-05,1.6927244051506813e-05
pure_adamw,0.15,5,0.002608968625899921,0.00024192194464313615,0.0025971618278040954,0.0002429336454803494,-1.1806798095825855e-05,3.739722358525109e-05
