optimizer,floor,n,matrix_gain,matrix_ci95_halfwidth,complement_gain,complement_ci95_halfwidth,difference,difference_ci95_halfwidth
native,0.05,5,0.0006729406394259119,0.00014933512812063767,4.4161416818155884e-05,7.23579629148334e-05,0.000628779222607756,0.0001916757048155608
native,0.1,5,0.0020133121657652355,0.00011954116377130706,0.0001856187651912311,4.861776341298787e-05,0.0018276934005740041,9.012081784851895e-05
native,0.15,5,0.004956502329524959,0.00013558943866841944,0.0005604350446084094,7.433141032974892e-05,0.00439606728491655,0.00014984089055558047
pure_adamw,0.05,5,0.00025497351590475503,6.515283871091465e-05,2.4178643815853106e-05,2.7825683215862295e-05,0.00023079487208890192,5.5849248021504796e-05
pure_adamw,0.1,5,0.0008888858279487266,9.925800961419837e-05,0.00018789328640931303,3.234695649239225e-05,0.0007009925415394136,8.09732236012773e-05
pure_adamw,0.15,5,0.002208320238012007,0.00020398851284228746,0.0005326612667400976,7.419056576906229e-05,0.0016756589712719095,0.00017041425636086553
