step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.430564135313034,0.4,157.91575943736825
500,4.7485955357551575,0.4,315.5980485867476
750,4.389781594276428,0.4,472.07658739667386
1000,4.165780022740364,0.4,628.3833769912599
1250,4.0369212329387665,0.3612205128205129,783.8094908873318
1500,3.866908475756645,0.3125025641025641,939.4558302342193
1750,3.7635900378227234,0.2637846153846154,1097.1538090361282
2000,3.7504119277000427,0.21506666666666666,1255.0061232859734
2250,3.8232760578393936,0.16634871794871797,1412.4275654365774
2500,3.608658030629158,0.11763076923076923,1567.115076302085
2750,3.73191936314106,0.06891282051282052,1724.1737687251298
3000,3.5813408941030502,0.04000000000000001,1880.9449674715288
