step,train_loss,lr_multiplier,elapsed_training_seconds
250,5.433776706457138,0.4,178.49997156043537
500,4.846050262451172,0.4,356.33967330190353
750,4.33816933631897,0.4,532.9330367953517
1000,4.106209635734558,0.4,710.0526057044044
1250,4.092257082462311,0.3612205128205129,886.021048826864
1500,3.866323009133339,0.3125025641025641,1061.7420954103582
1750,3.8561840802431107,0.2637846153846154,1236.1007577534765
2000,3.7209601253271103,0.21506666666666666,1408.51514052134
2250,3.7006900161504745,0.16634871794871797,1580.8369110068306
2500,3.703917518258095,0.11763076923076923,1755.7479681959376
2750,3.5700319409370422,0.06891282051282052,1931.7234792327508
3000,3.5878284722566605,0.04000000000000001,2106.615875004325
