arm,estimator,n,mean,se,halfwidth95,lo95,hi95
uniform05,raw,8,1.0557203723007436,0.00022213218404672108,0.0005252590935692938,1.0551951132071742,1.056245631394313
uniform05,scalar055,8,1.0549915038003768,0.0002361835734782834,0.0005584853462525124,1.0544330184541242,1.0555499891466293
uniform05,structured,8,1.0549098449064243,0.00023621631784930837,0.000558562774378103,1.0543512821320462,1.0554684076808023
uniform05,structured_gain_vs_raw,8,0.0008105273943191937,3.3874643246643065e-05,8.010079441245011e-05,0.0007304265999067436,0.0008906281887316439
uniform10,raw,8,1.0568739384571626,0.0001873407010629015,0.00044299031791016243,1.0564309481392524,1.0573169287750728
uniform10,scalar055,8,1.0547336012630368,0.00018166019825836038,0.00042955806464647716,1.0543040431983903,1.0551631593276833
uniform10,structured,8,1.0545893290262005,0.00017715882603764935,0.00041891401186045055,1.05417041501434,1.055008243038061
uniform10,structured_gain_vs_raw,8,0.0022846094309619536,4.352919224330246e-05,0.00010293017267912684,0.0021816792582828267,0.0023875396036410804
matched_uniform,raw,8,1.05643899063332,0.0002503163124327178,0.000591903959969903,1.05584708667335,1.05703089459329
matched_uniform,scalar055,8,1.0549622809518029,0.0002469362764193199,0.0005839114456917579,1.054378369506111,1.0555461923974947
matched_uniform,structured,8,1.0548417443397882,0.0002550198223172941,0.0006030259923272093,1.0542387183474609,1.0554447703321155
matched_uniform,structured_gain_vs_raw,8,0.0015972462935318343,4.955444006458233e-05,0.00011717761828327293,0.0014800686752485615,0.0017144239118151072
mapped,raw,8,1.0598431504448105,0.00020483691990000303,0.00048436229688162476,1.059358788147929,1.060327512741692
mapped,scalar055,8,1.0550513563337747,0.00020267938656845733,0.00047926054178505184,1.0545720957919895,1.0555306168755598
mapped,structured,8,1.054729427367226,0.0001932691054033464,0.0004570087650952826,1.0542724186021308,1.0551864361323213
mapped,structured_gain_vs_raw,8,0.005113723077584342,7.356604021103568e-05,0.00017395602426798003,0.004939767053316362,0.005287679101852323
