family,recipe,alpha_group,alpha_other,bpb,method_minus_raw,paired_eval_se,eval_seconds,optimizer,floor,stream_seed
structured_grid,structured:g0.000:o0.000,0.0,0.0,1.101227601501288,0.0,0.0,1.6069525569910184,native,0.1,8303
structured_grid,structured:g0.000:o0.125,0.0,0.125,1.1011426220175662,-8.497948372190173e-05,2.0354927877680396e-05,1.5578123850282282,native,0.1,8303
structured_grid,structured:g0.000:o0.250,0.0,0.25,1.1010660569994686,-0.00016154450181961322,3.3316655333745695e-05,1.568148566992022,native,0.1,8303
structured_grid,structured:g0.000:o0.375,0.0,0.375,1.1010443095700377,-0.00018329193125037058,4.224481574089258e-05,1.5282346040476114,native,0.1,8303
structured_grid,structured:g0.000:o0.500,0.0,0.5,1.1010324925466637,-0.00019510895462443618,5.3282710300232236e-05,1.5276372180087492,native,0.1,8303
structured_grid,structured:g0.000:o0.625,0.0,0.625,1.1011092344501523,-0.00011836705113579642,6.837257624647064e-05,1.5639597671106458,native,0.1,8303
structured_grid,structured:g0.000:o0.750,0.0,0.75,1.1012814670241842,5.38655228959975e-05,8.183312762754738e-05,1.5904572510626167,native,0.1,8303
structured_grid,structured:g0.000:o0.875,0.0,0.875,1.101372231899306,0.0001446303980177279,9.169136706038987e-05,1.5888738230569288,native,0.1,8303
structured_grid,structured:g0.000:o1.000,0.0,1.0,1.1014768068640408,0.00024920536275279195,0.00010236504296759301,1.5149028890300542,native,0.1,8303
structured_grid,structured:g0.125:o0.000,0.125,0.0,1.1004390402217261,-0.0007885612795617922,2.9671814496921763e-05,1.5714678959921002,native,0.1,8303
structured_grid,structured:g0.125:o0.125,0.125,0.125,1.10035825327911,-0.0008693482221781637,3.508943890148811e-05,1.5375215909443796,native,0.1,8303
structured_grid,structured:g0.125:o0.250,0.125,0.25,1.100303705950267,-0.0009238955510212105,4.259669242813583e-05,1.5331453019753098,native,0.1,8303
structured_grid,structured:g0.125:o0.375,0.125,0.375,1.1002823410784837,-0.0009452604228045378,5.274819261935689e-05,1.6029161679325625,native,0.1,8303
structured_grid,structured:g0.125:o0.500,0.125,0.5,1.1002741174710606,-0.0009534840302276634,6.302013901703697e-05,1.5618462400743738,native,0.1,8303
structured_grid,structured:g0.125:o0.625,0.125,0.625,1.1003456544156227,-0.0008819470856653057,7.387310383453037e-05,1.5471152570098639,native,0.1,8303
structured_grid,structured:g0.125:o0.750,0.125,0.75,1.1005080367187658,-0.0007195647825221831,8.59831840815837e-05,1.5767236179672182,native,0.1,8303
structured_grid,structured:g0.125:o0.875,0.125,0.875,1.100629916431242,-0.0005976850700461032,9.806464474032209e-05,1.5989309049909934,native,0.1,8303
structured_grid,structured:g0.125:o1.000,0.125,1.0,1.1007545878657623,-0.0004730136355258867,0.00010705515715810185,1.570265133981593,native,0.1,8303
structured_grid,structured:g0.250:o0.000,0.25,0.0,1.0998506513514417,-0.0013769501498464842,5.133304718867223e-05,1.5108840019674972,native,0.1,8303
structured_grid,structured:g0.250:o0.125,0.25,0.125,1.099787684775375,-0.0014399167259132994,5.466702645772926e-05,1.5088605870259926,native,0.1,8303
structured_grid,structured:g0.250:o0.250,0.25,0.25,1.0996970944765891,-0.001530507024699106,6.106871660069915e-05,1.5508259700145572,native,0.1,8303
structured_grid,structured:g0.250:o0.375,0.25,0.375,1.099690850386105,-0.0015367511151831714,7.040886179906564e-05,1.5853140250546858,native,0.1,8303
structured_grid,structured:g0.250:o0.500,0.25,0.5,1.0997128856023186,-0.0015147158989695982,7.418995868031943e-05,1.5595760189462453,native,0.1,8303
structured_grid,structured:g0.250:o0.625,0.25,0.625,1.0997934952438002,-0.0014341062574877873,8.600828033555111e-05,1.5357643109746277,native,0.1,8303
structured_grid,structured:g0.250:o0.750,0.25,0.75,1.0999217587908354,-0.0013058427104528179,9.710468541163297e-05,1.52980891300831,native,0.1,8303
structured_grid,structured:g0.250:o0.875,0.25,0.875,1.1000492328922986,-0.001178368608989561,0.00010685513874296203,1.556202157982625,native,0.1,8303
structured_grid,structured:g0.250:o1.000,0.25,1.0,1.1001889392698967,-0.0010386622313916499,0.00011613481831433059,1.5577274460811168,native,0.1,8303
structured_grid,structured:g0.375:o0.000,0.375,0.0,1.0994653314132747,-0.0017622700880135529,7.300622849001358e-05,1.584378571016714,native,0.1,8303
structured_grid,structured:g0.375:o0.125,0.375,0.125,1.0993581463801356,-0.0018694551211523788,7.537823740957987e-05,1.5527223809622228,native,0.1,8303
structured_grid,structured:g0.375:o0.250,0.375,0.25,1.0992943138949074,-0.0019332876063805696,8.257345352312396e-05,1.5420220989035442,native,0.1,8303
structured_grid,structured:g0.375:o0.375,0.375,0.375,1.0992809916857542,-0.0019466098155339895,8.820178832009296e-05,1.553098814911209,native,0.1,8303
