recipe,method,alpha,step,eval_kind,bpb,bpb_se,nll,nll_se,n_eval_batches,eval_seconds,floor,trajectory_id,lr_multiplier,stream_seed,paired_delta_vs_raw,paired_se_vs_raw,paired_z_vs_raw,window,spacing,ema_beta,mean_alpha_by_numel
raw,Raw iterate,0.0,248,curve,1.5534348013682813,0.02083291063383171,5.034484282135963,0.03954692318843799,32,0.784917228971608,0.05,floor_05p00pct,0.4,3303,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,248,curve,1.6214264029740064,0.020410749933834314,5.2568084597587585,0.036981730844953424,32,0.7708084470359609,0.05,floor_05p00pct,0.4,3303,0.06799160160572514,0.001927339898786651,35.277431681110826,8,32,,
tsa:1.000,Uniform LAWA,1.0,248,curve,1.7196092015967275,0.020348509398473887,5.576568350195885,0.03446550625221937,32,0.7657386199571192,0.05,floor_05p00pct,0.4,3303,0.16617440022844607,0.0038938152964105265,42.6764978764227,8,32,,
raw,Raw iterate,0.0,504,curve,1.3216914406060365,0.01728777043186229,4.286718621850014,0.04229067540629799,32,0.7880394710227847,0.05,floor_05p00pct,0.4,3303,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,504,curve,1.317590447361935,0.01743709550550738,4.272753171622753,0.041459107544516524,32,0.7599165770225227,0.05,floor_05p00pct,0.4,3303,-0.0041009932441014585,0.001469669436839724,-2.790418812083316,8,32,,
tsa:1.000,Uniform LAWA,1.0,504,curve,1.351230729193872,0.017850805175042263,4.381136834621429,0.04021259331022883,32,0.7642482819501311,0.05,floor_05p00pct,0.4,3303,0.029539288587835548,0.003429348522488654,8.613673528405068,8,32,,
raw,Raw iterate,0.0,760,curve,1.253156880475996,0.017653483742692787,4.064400516450405,0.04638326147686672,32,0.7835006419336423,0.05,floor_05p00pct,0.4,3303,,,,,,,
tsa:0.550,TSA alpha=0.55,0.55,760,curve,1.2210671336823853,0.017597865462133384,3.9605672508478165,0.04678374052419426,32,0.7678836559643969,0.05,floor_05p00pct,0.4,3303,-0.03208974679361071,0.0007884233840036654,-40.701160625978495,8,32,,
tsa:1.000,Uniform LAWA,1.0,760,curve,1.224884698427371,0.01747925982527498,3.973048560321331,0.04636731264238665,32,0.7738748620031402,0.05,floor_05p00pct,0.4,3303,-0.028272182048624916,0.0011863614183669645,-23.83100260251365,8,32,,
raw,Raw iterate,0.0,1016,curve,1.220856583055613,0.017566989783068275,3.959790788590908,0.046590922910767496,32,0.7965023180004209,0.05,floor_05p00pct,0.4,3303,,,,,,,
