recipe,method,k,spacing,alpha,beta,bpb,eval_seconds,stream_seed,paired_delta_method_minus_raw,paired_se,mean_alpha_by_numel
raw,Raw iterate,0,0,0.0,nan,1.0566023893497798,2.308594694826752,3303,,,
tsa:k4:s16:a0.550,TSA,4,16,0.55,nan,1.0553690313196495,2.3794244090095162,3303,-0.0012333580301302598,5.961914977053981e-05,
lawa:k4:s16:a1.000,LAWA,4,16,1.0,nan,1.055557860439034,2.2876390549354255,3303,-0.0010445289107458555,0.00010150675965451952,
tsa:k4:s32:a0.550,TSA,4,32,0.55,nan,1.0548668156860377,2.3312088758684695,3303,-0.001735573663742128,7.10576226027774e-05,
lawa:k4:s32:a1.000,LAWA,4,32,1.0,nan,1.0552781329300374,2.305795486085117,3303,-0.001324256419742556,0.00012975778325229954,
tsa:k4:s64:a0.550,TSA,4,64,0.55,nan,1.0547397501999562,2.3887952864170074,3303,-0.0018626391498238238,8.610203489765554e-05,
lawa:k4:s64:a1.000,LAWA,4,64,1.0,nan,1.0558556355374702,2.26413018302992,3303,-0.0007467538123096425,0.0001546365465431085,
tsa:k8:s16:a0.550,TSA,8,16,0.55,nan,1.0547730643703932,2.3242158759385347,3303,-0.0018293249793868184,8.009462422742398e-05,
lawa:k8:s16:a1.000,LAWA,8,16,1.0,nan,1.0554428705042214,2.241406502202153,3303,-0.00115951884555861,0.00014253408175270675,
tsa:k8:s32:a0.550,TSA,8,32,0.55,nan,1.0546026081242859,2.4060849277302623,3303,-0.001999781225493927,9.277937016482962e-05,
lawa:k8:s32:a1.000,LAWA,8,32,1.0,nan,1.0560892430538213,2.269597693812102,3303,-0.000513146295958686,0.0001666034188362568,
tsa:k8:s64:a0.550,TSA,8,64,0.55,nan,1.0543849803122465,2.290198401082307,3303,-0.002217409037533516,0.0001367568606867404,
lawa:k8:s64:a1.000,LAWA,8,64,1.0,nan,1.0572505785089936,2.2677242471836507,3303,0.000648189159213756,0.00024288908245396294,
tsa:k16:s16:a0.550,TSA,16,16,0.55,nan,1.0545512345793477,2.242206764873117,3303,-0.002051154770432074,9.866915059235267e-05,
lawa:k16:s16:a1.000,LAWA,16,16,1.0,nan,1.0562628389821753,2.2524970388039947,3303,-0.0003395503676045947,0.00017643373903092208,
tsa:k16:s32:a0.550,TSA,16,32,0.55,nan,1.054373432318983,2.289329211227596,3303,-0.0022289570307969845,0.0001405750409031481,
lawa:k16:s32:a1.000,LAWA,16,32,1.0,nan,1.0574779865728479,2.262615285348147,3303,0.000875597223068005,0.00024849864283034304,
tsa:k16:s64:a0.550,TSA,16,64,0.55,nan,1.0556474781857526,2.2721320469863713,3303,-0.000954911164027461,0.00020990052754408245,
lawa:k16:s64:a1.000,LAWA,16,64,1.0,nan,1.0623949224527556,2.260982600040734,3303,0.0057925331029757415,0.0003672748123829964,
ewa:beta0.50:k8:s32,Matched-window EWA,8,32,nan,0.5,1.054831316018455,2.309603433124721,3303,-0.001771073331324851,7.683000142366295e-05,
ewa:beta0.75:k8:s32,Matched-window EWA,8,32,nan,0.75,1.0548242842551634,2.271146798040718,3303,-0.0017781050946165551,0.00012401505645253148,
ewa:beta0.90:k8:s32,Matched-window EWA,8,32,nan,0.9,1.055441145323043,2.3092226120643318,3303,-0.0011612440267369586,0.0001488138482771572,
ewa:beta0.95:k8:s32,Matched-window EWA,8,32,nan,0.95,1.0557464191738024,2.3171324161812663,3303,-0.0008559701759776143,0.0001588685213439948,
ema:0.95:16:16,Checkpoint EMA,16,16,nan,0.95,1.055646394559461,2.376407478004694,3303,-0.0009559947903190676,0.00015867798621582434,
swastyle:32:16,SWA-style late average,32,16,1.0,nan,1.0576373063157007,2.3435101909562945,3303,0.001034916965920787,0.00025233086722545566,
adaptive:hybrid:8:32:1.0:all,Adaptive TSA (all tensors),8,32,0.5861916440973445,nan,1.0546860714493658,2.306704835034907,3303,-0.0019163179004140878,9.052224892665229e-05,0.5861916440973445
adaptive:hybrid:8:32:1.0:muon,Adaptive TSA (Muon tensors),8,32,0.1493506938205104,nan,1.0547969524575194,2.3251310461200774,3303,-0.0018054368922603714,7.485084529877155e-05,0.1493506938205104
